actor,show,year,top_cast
Emma Stone,"Crazy, Stupid, Love.",2011,Julianne Moore
Emma Stone,"Crazy, Stupid, Love.",2011,Ryan Gosling
Emma Stone,"Crazy, Stupid, Love.",2011,Marisa Tomei
Emma Stone,"Crazy, Stupid, Love.",2011,Emma Stone
Emma Stone,"Crazy, Stupid, Love.",2011,Steve Carell
Benedict Cumberbatch,Creation,2009,Ian Kelly
Benedict Cumberbatch,Creation,2009,Toby Jones
Benedict Cumberbatch,Creation,2009,Jeremy Northam
Benedict Cumberbatch,Creation,2009,Paul Bettany
Benedict Cumberbatch,Creation,2009,Martha West
Benedict Cumberbatch,Creation,2009,Jennifer Connelly
Benedict Cumberbatch,Creation,2009,Benedict Cumberbatch
Benedict Cumberbatch,Creation,2009,Jim Carter
Ruth Negga,Criminal Justice,2008,Pete Postlethwaite
Ruth Negga,Criminal Justice,2008,David Westhead
Ruth Negga,Criminal Justice,2008,Lindsay Duncan
Ruth Negga,Criminal Justice,2008,Ruth Negga
Ruth Negga,Criminal Justice,2008,Bill Paterson
Ruth Negga,Criminal Justice,2008,Con O'Neill
Ruth Negga,Criminal Justice,2008,Ben Whishaw
Ruth Negga,Criminal Justice,2008,Juliet Aubrey
Jennifer Jason Leigh,Crooked Hearts,1991,Wendy Gazelle
Jennifer Jason Leigh,Crooked Hearts,1991,Peter Berg
Jennifer Jason Leigh,Crooked Hearts,1991,Cindy Pickett
Jennifer Jason Leigh,Crooked Hearts,1991,Jennifer Jason Leigh
Jennifer Jason Leigh,Crooked Hearts,1991,Juliette Lewis
Jennifer Jason Leigh,Crooked Hearts,1991,Vincent D'Onofrio
Jennifer Jason Leigh,Crooked Hearts,1991,Peter Coyote
Jennifer Jason Leigh,Crooked Hearts,1991,Noah Wyle
Jennifer Jason Leigh,Crossed Over,2002,Maury Chaykin
Jennifer Jason Leigh,Crossed Over,2002,Diane Keaton
Jennifer Jason Leigh,Crossed Over,2002,Jennifer Jason Leigh
J.K. Simmons,Crossing Fields,1998,Gwynyth Walsh
J.K. Simmons,Crossing Fields,1998,William James Jones
J.K. Simmons,Crossing Fields,1998,J.K. Simmons
J.K. Simmons,Crossing Fields,1998,Meadow Sisto
J.K. Simmons,Crossing Fields,1998,Reedy Gibbs
Mahershala Ali,Crossing Over,2009,Ray Liotta
Mahershala Ali,Crossing Over,2009,Harrison Ford
Mahershala Ali,Crossing Over,2009,Summer Bishil
Mahershala Ali,Crossing Over,2009,Jim Sturgess
Mahershala Ali,Crossing Over,2009,Alice Braga
Mahershala Ali,Crossing Over,2009,Cliff Curtis
Mahershala Ali,Crossing Over,2009,Ashley Judd
Mahershala Ali,Crossing Over,2009,Alice Eve
Emma Stone,Cruella,2021,Emily Beecham
Emma Stone,Cruella,2021,Joel Fry
Emma Stone,Cruella,2021,Emma Stone
Emma Stone,Cruella,2021,Emma Thompson
Emma Stone,Cruella,2021,Paul Walter Hauser
Steve Carell,Curly Sue,1991,Viveka Davis
Steve Carell,Curly Sue,1991,James Belushi
Steve Carell,Curly Sue,1991,Edie McClurg
Steve Carell,Curly Sue,1991,Alisan Porter
Steve Carell,Curly Sue,1991,Kelly Lynch
Steve Carell,Curly Sue,1991,Steve Carell
Steve Carell,Curly Sue,1991,John Getz
Steve Carell,Curly Sue,1991,Fred Dalton Thompson
Charlotte Rampling,D.O.A.,1988,read the rest.
Charlotte Rampling,D.O.A.,1988,Daniel Stern
Charlotte Rampling,D.O.A.,1988,Robert Knepper
Charlotte Rampling,D.O.A.,1988,Robin Johnson
Charlotte Rampling,D.O.A.,1988,Meg Ryan
Charlotte Rampling,D.O.A.,1988,Christopher Neame
Charlotte Rampling,D.O.A.,1988,Jane Kaczmarek
Charlotte Rampling,D.O.A.,1988,Charlotte Rampling
Charlotte Rampling,D.O.A.,1988,Dennis Quaid
Patricia Arquette,Daddy,1987,Dermot Mulroney
Patricia Arquette,Daddy,1987,J.J. Cohen
Patricia Arquette,Daddy,1987,Danny Aiello
Patricia Arquette,Daddy,1987,John Karlen
Patricia Arquette,Daddy,1987,Tess Harper
Patricia Arquette,Daddy,1987,Patricia Arquette
Patricia Arquette,Daddy,1987,Trey Aames
Patricia Arquette,Daddy,1987,Edan Gross
Steve Carell,Dan in Real Life,2007,Britt Robertson
Steve Carell,Dan in Real Life,2007,Juliette Binoche
Steve Carell,Dan in Real Life,2007,Steve Carell
Steve Carell,Dan in Real Life,2007,Dane Cook
Steve Carell,Dan in Real Life,2007,John Mahoney
Steve Carell,Dan in Real Life,2007,Emily Blunt
Steve Carell,Dan in Real Life,2007,Alison Pill
Steve Carell,Dan in Real Life,2007,Dianne Wiest
Lucas Hedges,Dan in Real Life,2007,Steve Carell
Lucas Hedges,Dan in Real Life,2007,Britt Robertson
Lucas Hedges,Dan in Real Life,2007,Emily Blunt
Lucas Hedges,Dan in Real Life,2007,John Mahoney
Lucas Hedges,Dan in Real Life,2007,Juliette Binoche
Lucas Hedges,Dan in Real Life,2007,Alison Pill
Lucas Hedges,Dan in Real Life,2007,Dianne Wiest
Lucas Hedges,Dan in Real Life,2007,Dane Cook
J.K. Simmons,Dark Skies,2013,read the rest.
J.K. Simmons,Dark Skies,2013,Dakota Goyo
J.K. Simmons,Dark Skies,2013,Josh Hamilton
J.K. Simmons,Dark Skies,2013,Keri Russell
J.K. Simmons,Dark Skies,2013,Ron Ostrow
J.K. Simmons,Dark Skies,2013,J.K. Simmons
J.K. Simmons,Dark Skies,2013,Annie Thurman
J.K. Simmons,Dark Skies,2013,Trevor St. John
J.K. Simmons,Dark Skies,2013,Myndy Crist
Alicia Vikander,Darkness of Truth,2007,Alicia Vikander
Alicia Vikander,Darkness of Truth,2007,Maria Fahl-Vikander
Alicia Vikander,Darkness of Truth,2007,Elna Gyllbrink
Alicia Vikander,Darkness of Truth,2007,LÃ¡szlÃ_ HÃ¡gÃ_
Steve Carell,Date Night,2010,Taraji P. Henson
Steve Carell,Date Night,2010,Leighton Meester
Steve Carell,Date Night,2010,Steve Carell
Steve Carell,Date Night,2010,Jimmi Simpson
Steve Carell,Date Night,2010,Kristen Wiig
Steve Carell,Date Night,2010,Tina Fey
Steve Carell,Date Night,2010,read the rest.
Steve Carell,Date Night,2010,Mark Wahlberg
Steve Carell,Date Night,2010,William Fichtner
Daniel Kaluuya,Date Night,2014,Tony Way
Daniel Kaluuya,Date Night,2014,Daniel Kaluuya
Daniel Kaluuya,Date Night,2014,Elen Rhys
Allison Janney,David and Lisa,1998,Brittany Murphy
Allison Janney,David and Lisa,1998,Sidney Poitier
Allison Janney,David and Lisa,1998,Allison Janney
Allison Janney,David and Lisa,1998,Lukas Haas
Allison Janney,David and Lisa,1998,Debi Mazar
Emma Stone,David Blaine: Beyond Magic,2016,Emma Stone
Emma Stone,David Blaine: Beyond Magic,2016,Jennifer Lawrence
Emma Stone,David Blaine: Beyond Magic,2016,David Blaine
Emma Stone,David Blaine: Beyond Magic,2016,Margot Robbie
Emma Stone,David Blaine: Beyond Magic,2016,Patrick Stewart
Margot Robbie,David Blaine: Beyond Magic,2016,Jennifer Lawrence
Margot Robbie,David Blaine: Beyond Magic,2016,Margot Robbie
Margot Robbie,David Blaine: Beyond Magic,2016,Emma Stone
Margot Robbie,David Blaine: Beyond Magic,2016,David Blaine
Margot Robbie,David Blaine: Beyond Magic,2016,Patrick Stewart
Bryan Cranston,David Blaine: Real or Magic,2013,Woody Allen
Bryan Cranston,David Blaine: Real or Magic,2013,Will Arnett
Bryan Cranston,David Blaine: Real or Magic,2013,Robert De Niro
Bryan Cranston,David Blaine: Real or Magic,2013,David Blaine
Bryan Cranston,David Blaine: Real or Magic,2013,Bryan Callen
Bryan Cranston,David Blaine: Real or Magic,2013,Woody Harrelson
Bryan Cranston,David Blaine: Real or Magic,2013,Ricky Gervais
Bryan Cranston,David Blaine: Real or Magic,2013,George W. Bush
Mark Rylance,Days and Nights,2014,Allison Janney
Mark Rylance,Days and Nights,2014,Cherry Jones
Mark Rylance,Days and Nights,2014,Christian Camargo
Mark Rylance,Days and Nights,2014,Michael Nyqvist
Mark Rylance,Days and Nights,2014,Katie Holmes
Mark Rylance,Days and Nights,2014,Ben Whishaw
Mark Rylance,Days and Nights,2014,Jean Reno
Mark Rylance,Days and Nights,2014,William Hurt
Allison Janney,Days and Nights,2014,Katie Holmes
Allison Janney,Days and Nights,2014,Jean Reno
Allison Janney,Days and Nights,2014,William Hurt
Allison Janney,Days and Nights,2014,Ben Whishaw
Allison Janney,Days and Nights,2014,Allison Janney
Margot Robbie,DC Films Presents Dawn of the Justice League,2016,Kevin Smith
Margot Robbie,DC Films Presents Dawn of the Justice League,2016,Amy Adams
Margot Robbie,DC Films Presents Dawn of the Justice League,2016,David Ayer
Margot Robbie,DC Films Presents Dawn of the Justice League,2016,Geoff Johns
Margot Robbie,DC Films Presents Dawn of the Justice League,2016,Ben Affleck
Allison Janney,Dead Funny,1994,Elizabeth PeÃ±a
Allison Janney,Dead Funny,1994,Andrew McCarthy
Allison Janney,Dead Funny,1994,Paige Turco
Allison Janney,Dead Funny,1994,Blanche Baker
Allison Janney,Dead Funny,1994,Allison Janney
Isabelle Huppert,Dead Man Down,2013,Luis Da Silva Jr.
Isabelle Huppert,Dead Man Down,2013,Noomi Rapace
Isabelle Huppert,Dead Man Down,2013,Franky G
Isabelle Huppert,Dead Man Down,2013,Stuart Bennett
Isabelle Huppert,Dead Man Down,2013,Terrence Howard
Isabelle Huppert,Dead Man Down,2013,Isabelle Huppert
Isabelle Huppert,Dead Man Down,2013,Colin Farrell
Isabelle Huppert,Dead Man Down,2013,Dominic Cooper
Bryan Cranston,Dead Silence,1991,Carrie Mitchum
Bryan Cranston,Dead Silence,1991,Beau Starr
Bryan Cranston,Dead Silence,1991,Steven Brill
Bryan Cranston,Dead Silence,1991,Tim Russ
Bryan Cranston,Dead Silence,1991,Bryan Cranston
Bryan Cranston,Dead Silence,1991,Claudette Nevins
Bryan Cranston,Dead Silence,1991,Lisanne Falk
Bryan Cranston,Dead Silence,1991,RenÃ©e Estevez
Bryan Cranston,Dead Space,1991,Marc Singer
Bryan Cranston,Dead Space,1991,Frank Roman
Bryan Cranston,Dead Space,1991,Randy Reinholz
Bryan Cranston,Dead Space,1991,Judith Chapman
Bryan Cranston,Dead Space,1991,Bryan Cranston
Bryan Cranston,Dead Space,1991,Laura Mae Tate
Bryan Cranston,Dead Space,1991,Rodger Halston
Bryan Cranston,Dead Space,1991,Lori Lively
Charlotte Rampling,Deception,2008,Dante Spinotti
Charlotte Rampling,Deception,2008,Andrew Ginsburg
Charlotte Rampling,Deception,2008,Michelle Williams
Charlotte Rampling,Deception,2008,Christine Kan
Charlotte Rampling,Deception,2008,Stephanie Roth Haberle
Charlotte Rampling,Deception,2008,Bruce Altman
Charlotte Rampling,Deception,2008,read the rest.
Charlotte Rampling,Deception,2008,Ewan McGregor
Charlotte Rampling,Deception,2008,Hugh Jackman
Isabelle Huppert,Deep Water,1981,Christian Benedetti
Isabelle Huppert,Deep Water,1981,Jean-Louis Trintignant
Isabelle Huppert,Deep Water,1981,Martine Costes
Isabelle Huppert,Deep Water,1981,Jean-Luc Moreau
Isabelle Huppert,Deep Water,1981,Isabelle Huppert
Isabelle Huppert,Deep Water,1981,Philippe ClÃ©venot
Isabelle Huppert,Deep Water,1981,Bertrand Bonvoisin
Isabelle Huppert,Deep Water,1981,Evelyne Didi
Tom Hardy,Deserter,2002,FÃ©licitÃ© Du Jeu
Tom Hardy,Deserter,2002,Aitor Merino
Tom Hardy,Deserter,2002,Yorick van Wageningen
Tom Hardy,Deserter,2002,Tom Hardy
Tom Hardy,Deserter,2002,Dugald Bruce Lockhart
Tom Hardy,Deserter,2002,Paul Fox
Tom Hardy,Deserter,2002,Christian Mulot
Tom Hardy,Deserter,2002,Kate Maberly
Michael Keaton,Desperate Measures,1998,Erik King
Michael Keaton,Desperate Measures,1998,Brian Cox
Michael Keaton,Desperate Measures,1998,Janel Moloney
Michael Keaton,Desperate Measures,1998,Michael Keaton
Michael Keaton,Desperate Measures,1998,Marcia Gay Harden
Michael Keaton,Desperate Measures,1998,Efrain Figueroa
Michael Keaton,Desperate Measures,1998,Andy GarcÃ_a
Michael Keaton,Desperate Measures,1998,Joseph Cross
Steve Carell,Despicable Me,2010,Steve Carell
Steve Carell,Despicable Me,2010,Russell Brand
Steve Carell,Despicable Me,2010,Miranda Cosgrove
Steve Carell,Despicable Me,2010,Julie Andrews
Steve Carell,Despicable Me,2010,Kristen Wiig
Steve Carell,Despicable Me,2010,Jason Segel
Steve Carell,Despicable Me,2010,Will Arnett
Steve Carell,Despicable Me,2010,Dana Gaier
Steve Carell,Despicable Me 2,2013,Russell Brand
Steve Carell,Despicable Me 2,2013,Benjamin Bratt
Steve Carell,Despicable Me 2,2013,Ken Jeong
Steve Carell,Despicable Me 2,2013,Miranda Cosgrove
Steve Carell,Despicable Me 2,2013,read the rest.
Steve Carell,Despicable Me 2,2013,Elsie Fisher
Steve Carell,Despicable Me 2,2013,Steve Carell
Steve Carell,Despicable Me 2,2013,Kristen Wiig
Steve Carell,Despicable Me 2,2013,Dana Gaier
Steve Carell,Despicable Me 3,2017,Miranda Cosgrove
Steve Carell,Despicable Me 3,2017,Nev Scharrel
Steve Carell,Despicable Me 3,2017,Steve Carell
Steve Carell,Despicable Me 3,2017,Kristen Wiig
Steve Carell,Despicable Me 3,2017,read the rest.
Steve Carell,Despicable Me 3,2017,Steve Coogan
Steve Carell,Despicable Me 3,2017,Dana Gaier
Steve Carell,Despicable Me 3,2017,Julie Andrews
Steve Carell,Despicable Me 3,2017,Trey Parker
Bryan Cranston,Detachment,2011,Tim Blake Nelson
Bryan Cranston,Detachment,2011,Marcia Gay Harden
Bryan Cranston,Detachment,2011,Adrien Brody
Bryan Cranston,Detachment,2011,Blythe Danner
Bryan Cranston,Detachment,2011,James Caan
Bryan Cranston,Detachment,2011,William Petersen
Bryan Cranston,Detachment,2011,Christina Hendricks
Bryan Cranston,Detachment,2011,Lucy Liu
J.K. Simmons,Detroit: Comeback City,2018,J.K. Simmons
Rosamund Pike,Devil You Know,2013,Bern Cohen
Rosamund Pike,Devil You Know,2013,Stephen Gevedon
Rosamund Pike,Devil You Know,2013,Molly Price
Rosamund Pike,Devil You Know,2013,Jennifer Lawrence
Rosamund Pike,Devil You Know,2013,Barbara Garrick
Rosamund Pike,Devil You Know,2013,Lena Olin
Rosamund Pike,Devil You Know,2013,Dean Winters
Rosamund Pike,Devil You Know,2013,Rosamund Pike
Rosamund Pike,Die Another Day,2002,Toby Stephens
Rosamund Pike,Die Another Day,2002,Michael Madsen
Rosamund Pike,Die Another Day,2002,Pierce Brosnan
Rosamund Pike,Die Another Day,2002,John Cleese
Rosamund Pike,Die Another Day,2002,read the rest.
Rosamund Pike,Die Another Day,2002,Halle Berry
Rosamund Pike,Die Another Day,2002,Rick Yune
Rosamund Pike,Die Another Day,2002,Rosamund Pike
Rosamund Pike,Die Another Day,2002,Lawrence Makoare
Brie Larson,Digging for Fire,2015,Jake Johnson
Brie Larson,Digging for Fire,2015,Brie Larson
Brie Larson,Digging for Fire,2015,Orlando Bloom
Brie Larson,Digging for Fire,2015,Rosemarie DeWitt
Brie Larson,Digging for Fire,2015,Sam Rockwell
Patricia Arquette,Dillinger,1991,Xander Berkeley
Patricia Arquette,Dillinger,1991,Patricia Arquette
Patricia Arquette,Dillinger,1991,Sherilyn Fenn
Patricia Arquette,Dillinger,1991,Bruce Abbott
Patricia Arquette,Dillinger,1991,Tom Bower
Patricia Arquette,Dillinger,1991,Vince Edwards
Patricia Arquette,Dillinger,1991,Mark Harmon
Patricia Arquette,Dillinger,1991,Will Patton
Steve Carell,Dinner for Schmucks,2010,Bruce Greenwood
Steve Carell,Dinner for Schmucks,2010,Zach Galifianakis
Steve Carell,Dinner for Schmucks,2010,Stephanie Szostak
Steve Carell,Dinner for Schmucks,2010,Paul Rudd
Steve Carell,Dinner for Schmucks,2010,Steve Carell
Steve Carell,Dinner for Schmucks,2010,Jemaine Clement
Steve Carell,Dinner for Schmucks,2010,Lucy Punch
Steve Carell,Dinner for Schmucks,2010,David Walliams
Isabelle Huppert,Dior and I,2015,Donatella Versace
Isabelle Huppert,Dior and I,2015,Pieter Mulier
Isabelle Huppert,Dior and I,2015,Anna Wintour
Isabelle Huppert,Dior and I,2015,Raf Simons
Isabelle Huppert,Dior and I,2015,Marion Cotillard
Isabelle Huppert,Dior and I,2015,Isabelle Huppert
Isabelle Huppert,Dior and I,2015,Sharon Stone
Isabelle Huppert,Dior and I,2015,Jennifer Lawrence
Mary J. Blige,Disney Parks Christmas Day Parade,2013,Jason Derulo
Mary J. Blige,Disney Parks Christmas Day Parade,2013,Lara Spencer
Mary J. Blige,Disney Parks Christmas Day Parade,2013,Nick Cannon
Mary J. Blige,Disney Parks Christmas Day Parade,2013,Dove Cameron
Mary J. Blige,Disney Parks Christmas Day Parade,2013,Garrett Clayton
Mary J. Blige,Disney Parks Christmas Day Parade,2013,Mary J. Blige
Mary J. Blige,Disney Parks Christmas Day Parade,2013,David Foster
Mary J. Blige,Disney Parks Christmas Day Parade,2013,Neil Patrick Harris
Rachel McAdams,Disobedience,2017,Omri Rose
Rachel McAdams,Disobedience,2017,Rachel McAdams
Rachel McAdams,Disobedience,2017,Liza Sadovy
Rachel McAdams,Disobedience,2017,Rachel Weisz
Rachel McAdams,Disobedience,2017,Dominic Applewhite
Rachel McAdams,Disobedience,2017,Cara Horgan
Rachel McAdams,Disobedience,2017,read the rest.
Rachel McAdams,Disobedience,2017,Alessandro Nivola
Rachel McAdams,Disobedience,2017,Anton Lesser
J.K. Simmons,Disposal,2003,Marvin W. Schwartz
J.K. Simmons,Disposal,2003,Jake M. Smith
J.K. Simmons,Disposal,2003,Sam Breslin Wright
J.K. Simmons,Disposal,2003,Catherine Lloyd Burns
J.K. Simmons,Disposal,2003,Mark Indelicato
J.K. Simmons,Disposal,2003,J.K. Simmons
Mary J. Blige,DMX: Angel,2001,Mary J. Blige
Mary J. Blige,DMX: Angel,2001,Paul Benjamin
Mary J. Blige,DMX: Angel,2001,DMX
Isabelle Huppert,Doctor Francoise Gailland,1976,Anouk Ferjac
Isabelle Huppert,Doctor Francoise Gailland,1976,Suzanne Flon
Isabelle Huppert,Doctor Francoise Gailland,1976,Annie Girardot
Isabelle Huppert,Doctor Francoise Gailland,1976,William Coryn
Isabelle Huppert,Doctor Francoise Gailland,1976,Isabelle Huppert
Isabelle Huppert,Doctor Francoise Gailland,1976,Jean-Pierre Cassel
Isabelle Huppert,Doctor Francoise Gailland,1976,Margo Lion
Isabelle Huppert,Doctor Francoise Gailland,1976,FranÃ§ois PÃ©rier
Benedict Cumberbatch,Doctor Strange,2016,Benedict Wong
Benedict Cumberbatch,Doctor Strange,2016,read the rest.
Benedict Cumberbatch,Doctor Strange,2016,Mads Mikkelsen
Benedict Cumberbatch,Doctor Strange,2016,Michael Stuhlbarg
Benedict Cumberbatch,Doctor Strange,2016,Chiwetel Ejiofor
Benedict Cumberbatch,Doctor Strange,2016,Benedict Cumberbatch
Benedict Cumberbatch,Doctor Strange,2016,Benjamin Bratt
Benedict Cumberbatch,Doctor Strange,2016,Tilda Swinton
Benedict Cumberbatch,Doctor Strange,2016,Rachel McAdams
Rachel McAdams,Doctor Strange,2016,Benedict Wong
Rachel McAdams,Doctor Strange,2016,Chiwetel Ejiofor
Rachel McAdams,Doctor Strange,2016,Michael Stuhlbarg
Rachel McAdams,Doctor Strange,2016,Mads Mikkelsen
Rachel McAdams,Doctor Strange,2016,Rachel McAdams
Rachel McAdams,Doctor Strange,2016,Tilda Swinton
Rachel McAdams,Doctor Strange,2016,Benjamin Bratt
Rachel McAdams,Doctor Strange,2016,Benedict Cumberbatch
Benedict Cumberbatch,Doctor Strange in the Multiverse of Madness,2021,Elizabeth Olsen
Benedict Cumberbatch,Doctor Strange in the Multiverse of Madness,2021,Benedict Cumberbatch
Benedict Cumberbatch,Doctor Strange in the Multiverse of Madness,2021,Chiwetel Ejiofor
Benedict Cumberbatch,Doctor Strange in the Multiverse of Madness,2021,Tom Hiddleston
Benedict Cumberbatch,Doctor Strange in the Multiverse of Madness,2021,Benedict Wong
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,Glenn Doherty
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,Noma Dumezweni
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,Michelle Ryan
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,Adam James
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,Lee Evans
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,David Tennant
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,Daniel Kaluuya
Daniel Kaluuya,Doctor Who: Planet of the Dead,2009,Victoria Alcock
Jennifer Jason Leigh,Dolores Claiborne,1995,John C. Reilly
Jennifer Jason Leigh,Dolores Claiborne,1995,Judy Parfitt
Jennifer Jason Leigh,Dolores Claiborne,1995,Ellen Muth
Jennifer Jason Leigh,Dolores Claiborne,1995,Kathy Bates
Jennifer Jason Leigh,Dolores Claiborne,1995,Eric Bogosian
Jennifer Jason Leigh,Dolores Claiborne,1995,read the rest.
Jennifer Jason Leigh,Dolores Claiborne,1995,Christopher Plummer
Jennifer Jason Leigh,Dolores Claiborne,1995,Jennifer Jason Leigh
Jennifer Jason Leigh,Dolores Claiborne,1995,David Strathairn
Charlotte Rampling,Dolphins and Whales: Tribes of the Ocean,2008,Charlotte Rampling
Charlotte Rampling,Dolphins and Whales: Tribes of the Ocean,2008,Daryl Hannah
Brie Larson,Don Jon,2013,Glenne Headly
Brie Larson,Don Jon,2013,Tony Danza
Brie Larson,Don Jon,2013,Joseph Gordon-Levitt
Brie Larson,Don Jon,2013,Julianne Moore
Brie Larson,Don Jon,2013,Scarlett Johansson
Rosamund Pike,Doom,2005,Razaaq Adoti
Rosamund Pike,Doom,2005,Karl Urban
Rosamund Pike,Doom,2005,Rosamund Pike
Rosamund Pike,Doom,2005,Richard Brake
Rosamund Pike,Doom,2005,Al Weaver
Rosamund Pike,Doom,2005,Ben Daniels
Rosamund Pike,Doom,2005,Dwayne Johnson
Rosamund Pike,Doom,2005,Deobia Oparei
Isabelle Huppert,Dormant Beauty,2012,Michele Riondino
Isabelle Huppert,Dormant Beauty,2012,Alba Rohrwacher
Isabelle Huppert,Dormant Beauty,2012,Toni Servillo
Isabelle Huppert,Dormant Beauty,2012,Pier Giorgio Bellocchio
Isabelle Huppert,Dormant Beauty,2012,Maya Sansa
Isabelle Huppert,Dormant Beauty,2012,Isabelle Huppert
Isabelle Huppert,Dormant Beauty,2012,Brenno Placido
Isabelle Huppert,Dormant Beauty,2012,Gianmarco Tognazzi
Tom Hardy,Dot the I,2003,Charlie Cox
Tom Hardy,Dot the I,2003,Gael GarcÃ_a Bernal
Tom Hardy,Dot the I,2003,Natalia Verbeke
Tom Hardy,Dot the I,2003,James D'Arcy
Tom Hardy,Dot the I,2003,Tom Hardy
Felicity Jones,Dragon Rider,2020,Freddie Highmore
Felicity Jones,Dragon Rider,2020,Patrick Stewart
Felicity Jones,Dragon Rider,2020,Meera Syal
Felicity Jones,Dragon Rider,2020,Thomas Brodie-Sangster
Felicity Jones,Dragon Rider,2020,Felicity Jones
Felicity Jones,Dragon Rider,2020,Sanjeev Bhaskar
Felicity Jones,Dragon Rider,2020,Nonso Anozie
Margot Robbie,Dreamland,2019,Margot Robbie
Margot Robbie,Dreamland,2019,Garrett Hedlund
Margot Robbie,Dreamland,2019,Finn Cole
Margot Robbie,Dreamland,2019,Travis Fimmel
Margot Robbie,Dreamland,2019,Kerry Condon
Bryan Cranston,Drive,2011,read the rest.
Bryan Cranston,Drive,2011,Albert Brooks
Bryan Cranston,Drive,2011,Ron Perlman
Bryan Cranston,Drive,2011,Ryan Gosling
Bryan Cranston,Drive,2011,Bryan Cranston
Bryan Cranston,Drive,2011,Christina Hendricks
Bryan Cranston,Drive,2011,Carey Mulligan
Bryan Cranston,Drive,2011,Kaden Leos
Bryan Cranston,Drive,2011,Oscar Isaac
Allison Janney,Drop Dead Gorgeous,1999,Denise Richards
Allison Janney,Drop Dead Gorgeous,1999,Ellen Barkin
Allison Janney,Drop Dead Gorgeous,1999,Amy Adams
Allison Janney,Drop Dead Gorgeous,1999,Kirstie Alley
Allison Janney,Drop Dead Gorgeous,1999,Kirsten Dunst
J.K. Simmons,Drug$,2018,Bernie Sanders
J.K. Simmons,Drug$,2018,J.K. Simmons
Isabelle Huppert,DubaÃ¯ Flamingo,2012,Florence Thomassin
Isabelle Huppert,DubaÃ¯ Flamingo,2012,Vanessa Paradis
Isabelle Huppert,DubaÃ¯ Flamingo,2012,Sergi LÃ_pez
Isabelle Huppert,DubaÃ¯ Flamingo,2012,Claire Nebout
Isabelle Huppert,DubaÃ¯ Flamingo,2012,Isabelle Huppert
Isabelle Huppert,DubaÃ¯ Flamingo,2012,Pratheen Ramalingam
Michael Keaton,Dumbo,2019,Alan Arkin
Michael Keaton,Dumbo,2019,Danny DeVito
Michael Keaton,Dumbo,2019,Finley Hobbins
Michael Keaton,Dumbo,2019,Michael Keaton
Michael Keaton,Dumbo,2019,Eva Green
Michael Keaton,Dumbo,2019,Roshan Seth
Michael Keaton,Dumbo,2019,Nico Parker
Michael Keaton,Dumbo,2019,Colin Farrell
Charlotte Rampling,Dune,2020,Dave Bautista
Charlotte Rampling,Dune,2020,Oscar Isaac
Charlotte Rampling,Dune,2020,Jason Momoa
Charlotte Rampling,Dune,2020,Rebecca Ferguson
Charlotte Rampling,Dune,2020,Josh Brolin
Charlotte Rampling,Dune,2020,TimothÃ©e Chalamet
Charlotte Rampling,Dune,2020,Stellan SkarsgÃ¥rd
Charlotte Rampling,Dune,2020,Zendaya
Timothee Chalamet,Dune,2020,Zendaya
Timothee Chalamet,Dune,2020,Jason Momoa
Timothee Chalamet,Dune,2020,Josh Brolin
Timothee Chalamet,Dune,2020,TimothÃ©e Chalamet
Timothee Chalamet,Dune,2020,Rebecca Ferguson
Timothee Chalamet,Dune,2020,Oscar Isaac
Timothee Chalamet,Dune,2020,Dave Bautista
Timothee Chalamet,Dune,2020,Stellan SkarsgÃ¥rd
Tom Hardy,Dunkirk,2017,Harry Styles
Tom Hardy,Dunkirk,2017,Fionn Whitehead
Tom Hardy,Dunkirk,2017,Barry Keoghan
Tom Hardy,Dunkirk,2017,Kenneth Branagh
Tom Hardy,Dunkirk,2017,James D'Arcy
Tom Hardy,Dunkirk,2017,Jack Lowden
Tom Hardy,Dunkirk,2017,Tom Glynn-Carney
Tom Hardy,Dunkirk,2017,Aneurin Barnard
Tom Hardy,Dunkirk,2017,read the rest.
Mark Rylance,Dunkirk,2017,Harry Styles
Mark Rylance,Dunkirk,2017,read the rest.
Mark Rylance,Dunkirk,2017,Barry Keoghan
Mark Rylance,Dunkirk,2017,Aneurin Barnard
Mark Rylance,Dunkirk,2017,Kenneth Branagh
Mark Rylance,Dunkirk,2017,James D'Arcy
Mark Rylance,Dunkirk,2017,Tom Glynn-Carney
Mark Rylance,Dunkirk,2017,Fionn Whitehead
Mark Rylance,Dunkirk,2017,Jack Lowden
Eddie Redmayne,Early Man,2018,Tom Hiddleston
Eddie Redmayne,Early Man,2018,Maisie Williams
Eddie Redmayne,Early Man,2018,Eddie Redmayne
Eddie Redmayne,Early Man,2018,Richard Ayoade
Eddie Redmayne,Early Man,2018,Rob Brydon
Eddie Redmayne,Early Man,2018,Kayvan Novak
Eddie Redmayne,Early Man,2018,Miriam Margolyes
Eddie Redmayne,Early Man,2018,Timothy Spall
Michael Keaton,Earth and the American Dream,1992,Anthony Hopkins
Michael Keaton,Earth and the American Dream,1992,Harrison Ford
