web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575163928-6847","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID WAISTCOAT","https://www.zara.com/us/en/plaid-waistcoat-p00706382.html","PLAID WAISTCOAT Details","69.90 USD","Gray"
"1575164023-6891","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TUXEDO JACKET","https://www.zara.com/us/en/tuxedo-jacket-p05676655.html","TUXEDO JACKET Details","199.00 USD","Black"
"1575163936-6851","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","LAPELLESS BLAZER","https://www.zara.com/us/en/lapelless-blazer-p00706681.html","LAPELLESS BLAZER Details","119.00 USD","Black"
"1575163932-6849","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRETCH SUIT VEST WITH SHEEN","https://www.zara.com/us/en/stretch-suit-vest-with-sheen-p01564302.html","STRETCH SUIT VEST WITH SHEEN Details","49.90 USD","Gray"
"1575163940-6853","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED WEAVE PRINTED JACKET","https://www.zara.com/us/en/textured-weave-printed-jacket-p02922331.html","TEXTURED WEAVE PRINTED JACKET Details","119.00 USD","taupe brown"
"1575163924-6845","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","COLORED SUIT JACKET","https://www.zara.com/us/en/colored-suit-jacket-p05674677.html","COLORED SUIT JACKET Details","149.00 USD","Ocean blue"
"1575163978-6870","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TWO TONED TEXTURED WEAVE SUIT JACKET","https://www.zara.com/us/en/two-toned-textured-weave-suit-jacket-p01564384.html","TWO TONED TEXTURED WEAVE SUIT JACKET Details","199.00 USD","Anthracite Gray"
"1575163967-6866","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRUCTURED BLAZER WITH ELBOW PATCHES","https://www.zara.com/us/en/structured-blazer-with-elbow-patches-p06861415.html","STRUCTURED BLAZER WITH ELBOW PATCHES Details","89.90 USD","Sand"
"1575163969-6867","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","BASIC TEXTURED WEAVE BLAZER","https://www.zara.com/us/en/basic-textured-weave-blazer-p01608301.html","BASIC TEXTURED WEAVE BLAZER Details","69.90 USD","Black"
"1575163951-6858","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRUCTURED BLAZER WITH ELBOW PATCHES","https://www.zara.com/us/en/structured-blazer-with-elbow-patches-p02880358.html","STRUCTURED BLAZER WITH ELBOW PATCHES Details","199.00 USD","Dark tan"
"1575163909-6824","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164050-6902","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID DOUBLE BREASTED BLAZER","https://www.zara.com/us/en/plaid-double-breasted-blazer-p02880395.html","PLAID DOUBLE BREASTED BLAZER Details","199.00 USD","Black / White"
"1575163909-6838","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164046-6900","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID 4 WAYS STRETCH KNIT JACKET","https://www.zara.com/us/en/plaid-4-ways-stretch-knit-jacket-p00706367.html","PLAID 4 WAYS STRETCH KNIT JACKET Details","129.00 USD","taupe brown"
"1575163953-6859","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED STRETCH KNIT JACKET","https://www.zara.com/us/en/textured-stretch-knit-jacket-p00706329.html","TEXTURED STRETCH KNIT JACKET Details","119.00 USD","Ecru"
"1575163909-6823","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164016-6888","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TECHNICAL SUIT JACKET","https://www.zara.com/us/en/technical-suit-jacket-p06502675.html","TECHNICAL SUIT JACKET Details","149.00 USD","Black"
"1575164076-6914","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID DOUBLE BREASTED BLAZER","https://www.zara.com/us/en/plaid-double-breasted-blazer-p02922333.html","PLAID DOUBLE BREASTED BLAZER Details","129.00 USD","taupe brown"
