CAMPUS_NAME,WALK_COUNT,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
Willamette University,2,Salem,OR,97301,44.94,-123.03
Bemidji State University,1,Bemidji,MN,56601,47.49,-94.88
Kent State University at Kent,5,Kent,OH,44242,41.15,-81.35
Palo Verde College,1,Blythe,CA,92225,33.66,-114.65
Central Michigan University,3,Mount Pleasant,MI,48859,43.59,-84.78
Greenville Technical College- Barton (Main),1,Greenville,SC,29607,34.83,-82.37
Valencia College- West (Main),3,Orlando,FL,32835,28.52,-81.47
Maine College of Art,1,Portland,ME,4101,43.66,-70.26
Morningside College,2,Sioux City,IA,51106,42.47,-96.36
Trinity College,1,Hartford,CT,6106,41.75,-72.69
University of California-Los Angeles,1,Los Angeles,CA,90024,34.07,-118.44
Lock Haven University - (Main),2,Lock Haven,PA,17745,41.14,-77.46
North Georgia Technical College- Clarkesville (Main),1,Clarkesville,GA,30523,34.64,-83.53
Front Range Community College- Westminster,2,Westminster,CO,80031,39.9,-105.04
Harcum College,2,Bryn Mawr,PA,19010,40.02,-75.31
Saginaw Valley State University,1,Saginaw,MI,48604,43.52,-83.97
Daytona State College- Advanced Technology Center,1,Daytona Beach,FL,32117,29.23,-81.1
Ivy Tech Community College- Indianapolis,3,Indianapolis,IN,46208,39.8,-86.16
Charleston Southern University,1,North Charleston,SC,29406,32.98,-80.07
Sam Houston State University,1,Huntsville,TX,77340,30.72,-95.55
Berkeley City College,1,Berkeley,CA,94704,37.87,-122.27
San Francisco State University,1,San Francisco,CA,94132,37.72,-122.48
University of Wisconsin-Oshkosh,1,Oshkosh,WI,54901,44.03,-88.55
Purdue University-Main Campus,1,West Lafayette,IN,47907,40.43,-86.91
Christopher Newport University,1,Newport News,VA,23606,37.06,-76.49
Union University- (Main),1,Jackson,TN,38305,35.68,-88.86
Lehigh Carbon Community College - Morgan,1,Tamaqua,PA,18252,40.8,-75.97
University at Buffalo - Downtown,1,Buffalo,NY,,42.9,-78.87
Eastern Kentucky University- Richmond (Main),2,Richmond,KY,40475,37.73,-84.3
University of Oregon,4,Eugene,OR,97401,44.05,-123.07
SUNY Sullivan,3,Loch Sheldrake,NY,12759,41.76,-74.67
Pennsylvania State University-Penn State Fayette- Eberly,5,Lemont Furnace,PA,15456,39.95,-79.66
Oklahoma Technical College,1,Tulsa,OK,74145,36.1,-95.91
University of Denver,1,Denver,CO,80210,39.68,-104.96
South Georgia Technical College,1, Americus,GA,31719,32.1178771,-84.1907541
Palm Beach State College- Lake Worth (Main),1,Lake Worth,FL,33461,26.61,-80.09
Long Island University - Post ,1,Old Westbury,NY,11568,40.82,-73.6
Delaware County Community College- Marple (Main),1,Media,PA,19063,39.97,-75.39
Gwinnett Technical College - Alpharetta,1,Alpharetta,GA,30009,34.07,-84.28
Salem Community College,1,Penns Grove,NJ,8069,39.7,-75.47
Texas Woman's University,1,Denton,TX,76201,33.23,-97.13
Hamline University,1,Saint Paul,MN,55104,44.97,-93.17
Langston University - OKC,2,Oklahoma City,OK,73111,35.54,-97.48
Concordia College at Moorhead,1,Moorhead,MN,56562,46.86,-96.77
Anoka-Ramsey Community College - Coon Rapids,1,Coon Rapids,MN,55433,45.17,-93.35
University of Nevada-Las Vegas- (Main),1,Las Vegas,NV,89119,36.11,-115.14
Texas Southern University,1,Houston,TX,77004,29.72,-95.36
Reading Area Community College,3,Reading,PA,19602,40.33,-75.94
University of South Florida-St Petersburg,1,Saint Petersburg,FL,33701,27.76,-82.64
Des Moines Area Community College- Boone,1,Boone,IA,50036,42.05,-93.88
Hiram College,1,Hiram,OH,44234,41.31,-81.14
Central Carolina Technical College- (Main),1,Sumter,SC,29150,33.93,-80.37
The University of Montana,1,Missoula,MT,59812,46.86,-113.98
College of Charleston,3,Charleston,SC,29424,32.78,-79.94
Appalachian State University,1,Boone,NC,28607,36.21,-81.68
Goodwin College,1,East Hartford,CT,6118,41.74,-72.64
Snead State Community College,2,Boaz,AL,35957,34.2,-86.17
Northern Arizona University - (Main),3,Flagstaff,AZ,86001,35.18,-111.66
University of Miami- Coral Gables (Main),2,Coral Gables,FL,33146,25.71,-80.28
Niagara University,1,Niagara University,NY,14109,43.14,-79.04
Naugatuck Valley Community College,2,Waterbury,CT,6708,41.55,-73.07
Daytona State College- Deltona ,1,Deltona,FL,32725,28.93,-81.22
Lewis University,1,Romeoville,IL,60446,41.6,-88.08
North Shore Community College- Danvers (Main),1,Danvers,MA,1923,42.59,-70.97
Southwest Texas Junior College- Uvalde (Main),1,Uvalde,TX,78801,29.22,-99.74
Western Michigan University- Engineering,1,Kalamazoo,MI,49008,42.25,-85.64
California University of Pennsylvania,2,California,PA,15419,40.06,-79.88
Palo Alto College,1,San Antonio,TX,78224,29.32,-98.54
Agnes Scott College,2,Decatur,GA,30030,33.77,-84.29
Ohio University-Athens (Main),1,Athens,OH,45701,39.33,-82.1
Barstow Community College,1,Barstow,CA,93211,34.87,-117.02
University of Alaska Anchorage - Susitna College,2,Palmer,AK,99645,61.58,-149.24
Moore College of Art and Design,2,Philadelphia,PA,19103,39.95,-75.17
Roane State Community College- Oak Ridge,1,Oak Ridge,TN,37830,36.02,-84.23
Widener University- (Main),4,Chester,PA,19013,39.86,-75.36
Western Oklahoma State College,1,Altus,OK,73521,34.67,-99.34
Pennsylvania State University-Penn State York,1,York,PA,17403,39.95,-76.7
University of Connecticut- Waterbury,2,Waterbury,CT,6702,41.56,-73.04
Northeastern University Professional Advancement Network- Boston,1,Boston,MA,2115,42.34,-71.09
City Colleges of Chicago-Harold Washington College,1,Chicago,IL,60601,41.89,-87.63
Morehead State University,1,Morehead,KY,40351,38.19,-83.43
Concordia University-Saint Paul,1,Saint Paul,MN,55104,44.95,-93.16
Pensacola State College- Warrington,1,Pensacola,FL,32507,30.4,-87.29
Grand Canyon University,2,Phoenix,AZ,85017,33.51,-112.13
Rogue Community College- Redwood (Main),2,Grants Pass,OR,97527,42.41,-123.39
Murray State University- Paducah,1,Paducah,KY,42001,37.06,-88.66
Antioch University-Seattle,1,Seattle,WA,98121,47.62,-122.34
Dartmouth College,1,Hanover,NH,3755,43.7,-72.29
Georgia Institute of Technology-Main Campus - Atlanta (Main),3,Atlanta,GA,30332,33.77,-84.39
Southern Connecticut State University,1,New Haven,CT,6515,41.33,-72.95
Oglethorpe University,1,Atlanta,GA,30319,33.88,-84.33
Westmoreland County Community College- Youngwood (Main),1,Youngwood,PA,15697,40.23,-79.56
Riverside City College,4,Riverside,CA,92506,33.97,-117.38
South Piedmont Community College - Old Charlotte Highway,1,Monroe,NC,28110,35.03,-80.62
Eastern Maine Community College,1,Bangor,ME,4401,44.83,-68.74
Mt San Jacinto Community College District - Menifee Valley,2,Menifee,CA,92584,33.67,-117.17
Robert Morris University- Moon Township (Main),1,Coraopolis,PA,15108,40.52,-80.21
Zane State College - Zanesville Campus (Main),1,Zanesville,OH,43701,39.96,-82.03
Daytona State College- Deland,1,DeLand,FL,32724,29.01,-81.24
Virginia Highlands Community College,1,Abingdon,VA,24210,36.7,-82
Briar Cliff University,1,Sioux City,IA,51104,42.53,-96.43
Huntington University,1,Huntington,IN,46750,40.9,-85.5
Azusa Pacific University,1,Azusa,CA,91702,34.13,-117.89
University of New Haven- New London (Main),1,West Haven,CT,6516,41.29,-72.96
North Seattle College,1,Seattle,WA,98103,47.7,-122.33
Marquette University,1,Milwaukee,WI,53233,43.04,-87.93
Arapahoe Community College,1,Littleton,CO,80120,39.61,-105.02
Tulsa Community College- West,1,Tulsa,OK,74107,36.11,-96.08
California State Polytechnic University-Pomona,1,Pomona,CA,91768,34.06,-117.82
Northwestern Connecticut Community College,1,Winchester,CT,6098,41.92,-73.06
New Mexico Highlands University,2,Las Vegas,NM,87701,35.59,-105.22
Holy Apostles College and Seminary,1,Cromwell,CT,6416,41.61,-72.65
Augustana College,1,Rock Island,IL,61201,41.51,-90.55
Spokane Falls Community College,2,Spokane,WA,99224,47.68,-117.47
Lyon College,1,Batesville,AR,72501,35.78,-91.63
Lynchburg College,1,Lynchburg,VA,24501,37.4,-79.18
California State University-San Bernardino - (Main),1,San Bernardino,CA,92407,34.18,-117.32
Alaska Pacific University,1,Anchorage,AK,99508,61.19,-149.81
Philander Smith College,1,Little Rock,AR,72202,34.74,-92.28
Villanova University,1,Villanova,PA,19085,40.04,-75.34
Southern Virginia University,1,Buena Vista,VA,24416,37.74,-79.35
University of Akron Main Campus,2,Akron,OH,44304,41.08,-81.51
California State University-Channel Islands,2,Camarillo,CA,93012,34.16,-119.04
Mt San Jacinto Community College District - San Jacinto (Main),1,San Jacinto,CA,92583,33.81,-116.97
Cincinnati State Technical and Community College- Clifton,1,Cincinnati,OH,45223,39.15,-84.54
University of Cincinnati-Blue Ash College,1,Cincinnati,OH,45236,39.23,-84.4
Ohio State University-Newark Campus,1,Newark,OH,43055,40.07,-82.44
Delaware Technical Community College-Terry (Dover Main),1,Dover,DE,19904,39.2,-75.56
Boise State University- (Main),2,Boise,ID,83725,43.6,-116.21
San Bernardino Valley College,3,San Bernardino,CA,92410,34.09,-117.31
Pennsylvania State University-Penn State New Kensington,1,New Kensington,PA,15068,40.55,-79.7
Lake-Sumter State College- South Lake Campus,2,Clermont,FL,34711,28.55,-81.71
Butler County Community College- Lindenpointe,1,Hermitage,PA,16148,41.22,-80.45
Midwestern University-Downers Grove,1,Downers Grove,IL,60515,41.83,-88
Central Connecticut State University,1,New Britain,CT,6051,41.69,-72.77
Davenport University- Holland,1,Holland,MI,49423,42.77,-86.08
Norwich University,3,Northfield,VT,5663,44.14,-72.66
Emory & Henry College,1,Emory,VA,24327,36.77,-81.83
William Jessup University - Rocklin,1,Rocklin,CA,95765,38.82,-121.29
Pensacola State College- (Main),1,Pensacola,FL,32504,30.48,-87.2
Birmingham Southern College,1,Birmingham,AL,35254,33.51,-86.86
Drexel University- Center City,1,Philadelphia,PA,19102,39.96,-75.16
Eastern Florida State College- Melbourne,1,Melbourne,FL,32935,28.17,-80.67
Cleveland University-Kansas City,1,Overland Park,KS,66210,38.93,-94.68
The University of Texas at San Antonio- (Main),2,San Antonio,TX,78249,29.58,-98.62
Texas Lutheran University,1,Seguin,TX,78155,29.57,-97.99
Johnson & Wales University-Charlotte,1,Charlotte,NC,28202,35.23,-80.85
Asheville-Buncombe Technical Community College,1,Asheville,NC,28801,35.57,-82.55
California State University-Fullerton - (Main),4,Fullerton,CA,92831,33.88,-117.89
Ivy Tech Community College- Franklin,1,Franklin,IN,46131,39.49,-86.01
Tacoma Community College,1,Tacoma,WA,98466,47.25,-122.52
Texas A&M University-Texarkana,3,Texarkana,TX,75503,33.49,-94.1
Northwest Technical College,2,Bemidji,MN,56601,47.45,-94.85
Ivy Tech Community College- Columbus,1,Columbus,IN,47203,39.25,-85.9
Columbia College Chicago,2,Chicago,IL,60605,41.87,-87.62
Community College of Rhode Island- Knight (Main),1,Warwick,RI,2886,41.71,-71.48
Jefferson State Community College - Shelby-Hoover,1,Birmingham,AL,35242,33.39,-86.73
City College of San Francisco- Ocean,1,San Francisco,CA,94112,37.72,-122.45
Texas College,1,Tyler,TX,75702,32.37,-95.31
Bethel University,2,Saint Paul,MN,55112,45.06,-93.16
Doane University - Graduate and Professional Studies - Lincoln,2,Lincoln,NE,68504,40.82,-96.65
Yale University - (Main),3,New Haven,CT,6511,41.31,-72.93
Portland Community College- Cascade,1,Portland,OR,97217,45.56,-122.67
Stephen F Austin State University,1,Nacogdoches,TX,75965,31.62,-94.65
Northeast Iowa Community College- Peosta,1,Peosta,IA,52068,42.45,-90.85
Bismarck State College,1,Bismarck,ND,58506,46.82,-100.82
Reed College,1,Portland,OR,97202,45.48,-122.63
Saddleback College,2,Mission Viejo,CA,92692,33.55,-117.66
College of the Desert,1,Palm Desert,CA,92260,33.73,-116.39
Adelphi University,1,Garden City,NY,11530,40.72,-73.65
The University of Texas at Austin - (Main),2,Austin,TX,78705,30.29,-97.74
Lakeshore Technical College,1,Cleveland,WI,53015,43.92,-87.75
Indiana University-Bloomington,3,Bloomington,IN,47405,39.17,-86.53
Moorpark College,1,Moorpark,CA,93021,34.3,-118.84
Eastern New Mexico University-Main Campus,1,Portales,NM,88130,34.18,-103.35
University of Southern Maine- Portland (Main),2,Portland,ME,4103,43.66,-70.28
Piedmont Technical College- Laurens County,1,Clinton,SC,29325,34.49,-81.94
Duquesne University,2,Pittsburgh,PA,15219,40.44,-79.99
Madison Area Technical College- Commercial Ave,1,Madison,WI,53704,43.11,-89.36
San Francisco Conservatory of Music,1,San Francisco,CA,94102,37.78,-122.42
Northampton County Area Community College - Bethlehem (Main),1,Bethlehem,PA,18020,40.67,-75.32
Broward College-Central (Main),2,Davie,FL,33314,26.08,-80.23
Portland Community College- Sylvania (Main),1,Portland,OR,97219,45.44,-122.73
University of California-Berkeley - (Main),5,Berkeley,CA,94720,37.87,-122.26
Mt San Antonio College,1,Walnut,CA,91789,34.05,-117.85
Washtenaw Community College,1,Ann Arbor,MI,48105,42.26,-83.66
Goldey-Beacom College,1,Wilmington,DE,19808,39.74,-75.69
Coastline Community College,1,Fountain Valley,CA,92708,33.72,-117.93
Vanderbilt University,2,Nashville,TN,37212,36.15,-86.8
Bowling Green State University-Main Campus,1,Bowling Green,OH,43403,41.38,-83.64
University of Wisconsin-Platteville,1,Platteville,WI,53818,42.73,-90.48
Wheeling University,3,Wheeling,WV,26003,40.07,-80.69
Sacred Heart University-St. Vincent's College,1,Bridgeport,CT,06606-4201,41.2016228,-73.20111773
Seminole State College of Florida- Oviedo,3,Oviedo,FL,32765,28.63,-81.17
Wayne County Community College District- Eastern,1,Detroit,MI,48213,42.39,-82.99
Wartburg College - Waverly,1,Waverly,IA,50677,42.73,-92.48
Colorado School of Mines,1,Golden,CO,80401,39.75,-105.22
Texas A&M University-Corpus Christi,1,Corpus Christi,TX,78412,27.71,-97.32
Community College of Allegheny County- (Main),1,Pittsburgh,PA,15233,40.45,-80.02
Klamath Community College,3,Klamath Falls,OR,97603,42.19,-121.7
Los Medanos College,1,Pittsburg,CA,94565,38.01,-121.86
Citrus College,1,Glendora,CA,91741,34.14,-117.89
Anderson University,1,Anderson,IN,46012,40.11,-85.67
Baker College- Allen Park,1,Allen Park,MI,48101,42.27,-83.2
Johns Hopkins University- Baltimore (Main),1,Baltimore,MD,21218,39.33,-76.62
North Central State College,1,Mansfield,OH,44906,40.8,-82.58
Wingate University- (Main),2,Wingate,NC,28174,34.99,-80.45
Keweenaw Bay Ojibwa Community College,1,Baraga,MI,49908,46.78,-88.51
Tompkins Cortland Community College,2,Dryden,NY,13053,42.5,-76.29
Lone Star College System- University Park,2,Houston,TX,77070,29.99,-95.58
Three Rivers Community College,1,Norwich,CT,6360,41.51,-72.1
University of California-Davis,7, Davis,CA,95616,38.54,-121.75
Sacred Heart University,1,Fairfield,CT,6825,41.2222395,-73.2409931
Lehigh University- Asa Packer (Main),1,Bethlehem,PA,18015,40.61,-75.38
Gallaudet University,1,Washington,DC,20002,38.91,-76.99
University of Memphis - Memphis (Main),1,Memphis,TN,38152,35.12,-89.93
Old Dominion University,2,Norfolk,VA,23508,36.88,-76.3
Quinnipiac University - York Hill,1,Hamden,CT,6514,41.41,-72.91
Ohio University- Zanesville,1,Zanesville,OH,43701,39.96,-82.03
Joliet Junior College- Romeoville,1,Romeoville,IL,60446,41.64,-88.12
El Camino Community College District,1,Torrance,CA,90506,33.88,-118.33
Flagler College-St Augustine,1,St. Augustine,FL,32084,29.89,-81.31
Chief Dull Knife College,2,Lame Deer,MT,59043,45.63,-106.66
Delgado Community College- Navarre (Main),1,New Orleans,LA,70119,29.98,-90.1
Southern Illinois University-Carbondale,1,Carbondale,IL,62901,37.71,-89.22
Northern Illinois University- Dekalb (Main),1,DeKalb,IL,60115,41.93,-88.78
College of the Mainland,1,Texas City,TX,77591,29.4,-95
Xavier University,1,Cincinnati,OH,45207,39.15,-84.48
Elizabeth City State University,2,Elizabeth City,NC,27909,36.28,-76.21
Wake Forest University,1,Winston-Salem,NC,27106,36.13,-80.27
University of California-Santa Barbara,1,Santa Barbara,CA,93106,34.42,-119.85
Dunwoody College of Technology,1,Minneapolis,MN,55403,44.97,-93.29
Clackamas Community College- Oregon City (Main),1,Oregon City,OR,97045,45.32,-122.57
Valencia College- Winter Park,1,Winter Park,FL,32789,28.6,-81.36
University of Virginia-Main Campus,1,Charlottesville,VA,22903,38.04,-78.5
Ivy Tech Community College- Michigan City,1,Michigan City,IN,46360,41.69,-86.89
Manchester Community College,1,Manchester,CT,6040,41.76,-72.57
Victor Valley College,1,Victorville,CA,92395,34.47,-117.26
Middle Tennessee State University,1,Murfreesboro,TN,37132,35.84,-86.37
University of Connecticut- Storrs (Main),2,Mansfield,CT,6269,41.81,-72.25
University of St Thomas,1,Houston,TX,77006,29.74,-95.39
Rowan University,1,Glassboro,NJ,8028,39.71,-75.12
Drury University,2,Springfield,MO,65802,37.22,-93.29
Montgomery County Community College - Central (Main),1,Blue Bell,PA,19422,40.18,-75.28
Trinity Valley Community College- Terrel,2,Terrell,TX,75161,32.69,-96.25
Johnston Community College,1,Smithfield,NC,27577,35.5,-78.33
Vassar College,1,Poughkeepsie,NY,12604,41.69,-73.9
Harrisburg Area Community College-Harrisburg (Main),2,Harrisburg,PA,17110,40.3,-76.89
University of Maine at Augusta - Bangor,1,Bangor,ME,4401,44.81,-68.8
School of the Art Institute of Chicago,1,Chicago,IL,60603,41.88,-87.63
Portland Community College- Southeast,1,Portland,OR,97216,45.51,-122.58
Shelton State Community College,1,Tuscaloosa,AL,35405,33.12,-87.56
John Brown University,2,Siloam Springs,AR,72761,36.19,-94.56
College of Coastal Georgia,1,Brunswick,GA,31520,31.18,-81.49
AdventHealth University,1,Orlando,FL,32803,28.58,-81.37
Florida Institute of Technology,1,Melbourne,FL,32901,28.06,-80.62
Northwestern College,1,Orange City,IA,51041,43,-96.06
Southwestern Oregon Community College- Coos (Main),2,Coos Bay,OR,97420,43.39,-124.26
Virginia Peninsula Community College - Williamsburg (Historic Triangle Campus),2,Williamsburg,VA,23188,37.34,-76.76
Virginia Western Community College,1,Roanoke,VA,24015,37.25,-79.97
Embry-Riddle Aeronautical University-Daytona Beach,2,Daytona Beach,FL,32114,29.19,-81.05
Louisiana State University and Agricultural & Mechanical College - Baton Rouge (Main),1,Baton Rouge,LA,70802,30.42,-91.18
Abilene Christian University,1,Abilene,TX,79699,32.47,-99.71
Northwood University,1,Midland,MI,48640,43.63,-84.28
University of Kentucky,2,Lexington,KY,40506,38.04,-84.51
Southwestern Indian Polytechnic Institute,1,Albuquerque,NM,87120,35.18,-106.66
United States Naval Academy,1,Annapolis,MD,21402,38.98,-76.49
Lincoln University,1,Oakland,CA,94612,37.8,-122.27
California State University-San Bernardino - Palm Desert,1,Palm Desert,CA,92211,33.78,-116.36
Wytheville Community College,1,Wytheville,VA,24382,36.96,-81.07
The Juilliard School,2,New York,NY,10023,40.77,-73.99
Culver-Stockton College,2,Canton,MO,63435,40.13,-91.53
Denison University,1,Granville,OH,43023,40.07,-82.52
J F Drake State Community and Technical College,3,Huntsville,AL,35811,34.77,-86.58
West Chester University of Pennsylvania,2,West Chester,PA,19383,39.95,-75.6
Carnegie Mellon University,1,Pittsburgh,PA,15213,40.44,-79.94
University of New Mexico-Main,2,Albuquerque,NM,87106,35.09,-106.62
Ellsworth Community College,1,Iowa Falls,IA,50126,42.53,-93.27
Cameron University - Duncan,1,Duncan,OK,73533,34.49,-97.99
University of Minnesota- Duluth,1,Duluth,MN,55812,46.82,-92.08
Capitol Technology University,1,Laurel,MD,20708,39.05,-76.85
Linfield College-McMinnville Campus,2,McMinnville,OR,97128,45.2,-123.2
Henry Ford College,1,Dearborn,MI,48128,42.32,-83.23
Normandale Community College,1,Bloomington,MN,55431,44.83,-93.33
Portland State University,1,Portland,OR,97201,45.51,-122.68
Calvin College,2,Grand Rapids,MI,49546,42.93,-85.59
Diablo Valley College,1,Pleasant Hill,CA,94523,37.97,-122.07
Indiana University of Pennsylvania-Main Campus,2,Indiana,PA,15705,40.62,-79.16
Coastal Alabama Community College- Fairhope,1,Fairhope,AL,36532,30.52,-87.9
Tulane University of Louisiana- Harahan,1,Elmwood,LA,70123,29.96,-90.18
Elon University - Elon (Main),1,Elon,NC,27244,36.1,-79.5
Southeastern Community College,1,Whiteville,NC,28472,34.33,-78.78
Los Angeles Valley College,1,Los Angeles,CA,91401,34.18,-118.42
John Tyler Community College- Midlothian,1,Midlothian,VA,23114,37.49,-77.67
University of Hartford,1,West Hartford,CT,6117,41.8,-72.71
University of Wisconsin - Green Bay at Sheboygan,2,Sheboygan,WI,53081,43.74,-87.75
Century College,1,White Bear Lake,MN,55110,45.04,-92.98
Minnesota State Community and Technical College- Fergus Falls (Main),1,Fergus Falls,MN,56537,46.29,-96.1
Johnson University Florida,1,Kissimmee,FL,34744,28.3,-81.36
Des Moines Area Community College- Newton,1,Newton,IA,50208,41.7,-93.06
Stillman College,1,Tuscaloosa,AL,35401,33.2,-87.59
Spring Arbor University,1,Spring Arbor,MI,49283,42.21,-84.55
Des Moines Area Community College- Carroll,1,Carroll,IA,51401,42.07,-94.86
Lincoln University,1,Lincoln University,PA,19352,39.81,-75.93
College of Lake County- Grayslake (Main),1,Grayslake,IL,60030,42.35,-88.01
University of Rio Grande,1,Rio Grande,OH,45674,38.88,-82.38
University of Wisconsin-River Falls,1,River Falls,WI,54022,44.85,-92.62
Quinnipiac University - North Haven,1,North Haven,CT,6473,41.41,-72.84
Parker University,1,Dallas,TX,75220,32.88,-96.89
Western Connecticut State University,3,Danbury,CT,6810,41.4,-73.45
Flagler College-Tallahassee,1,Tallahassee,FL,32304,30.44,-84.34
Atlanta Technical College - (Main),1,Atlanta,GA,30310,33.71,-84.41
Sitting Bull University,1,Fort Yates,ND,58538,46.09,-100.66
Thiel College,5,Greenville,PA,16125,41.41,-80.38
Colgate University,3,Hamilton,NY,13346,42.82,-75.54
Pratt Institute-Manhattan Campus,3,New York,NY,10011,40.74,-74
Stanford University,1,Palo Alto,CA,94305,37.41,-122.17
Coastal Alabama Community College - Monroeville,1,Monroeville,AL,36460,31.49,-87.33
Northern Kentucky University,1,Highland Heights,KY,41076,39.03,-84.46
Judson University - Elgin,1,Elgin,IL,60123,42.06,-88.29
Dickinson State University,1,Dickinson,ND,58601,46.88,-102.8
Nebraska College of Technical Agriculture,1,Curtis,NE,69025,40.64,-100.51
Pennsylvania State University-Penn State Wilkes-Barre,14,Lehman,PA,18627,41.31,-76.02
Grand Valley State University - Grand Rapids,2,Grand Rapids,MI,49504,42.96,-85.68
University of North Texas - (Main),2,Denton,TX,76201,33.21,-97.14
Georgia State University-Perimeter College- Atlanta (Main),1,Atlanta,GA,30303,33.75,-84.39
Elgin Community College- (Main),2,Elgin,IL,60123,42.02,-88.32
University of New England- Portland,3,Portland,ME,4103,43.68,-70.3
Cape Cod Community College,3,Barnstable,MA,2668,41.69,-70.34
University of San Francisco,1,San Francisco,CA,94117,37.78,-122.45
Harding University,1,Searcy,AR,72149,35.25,-91.73
Woodland Community College,2,Woodland,CA,95776,38.66,-121.74
University of Minnesota-Twin Cities (St Paul),5,Falcon Heights,MN,55108,44.98511298,-93.18528329
St Louis College of Pharmacy,1,St. Louis,MO,63110,38.64,-90.26
Shorter College,2,North Little Rock,AR,72114,34.76,-92.26
Air Force Institute of Technology-Graduate School of Engineering & Management,2,Fairborn,OH,45324,39.78,-84.08
University of Hawaii-West Oahu,1,Kapolei,HI,96707,21.33,-158.08
Bossier Parish Community College,1,Bossier City,LA,71111,32.54,-93.65
Middlesex Community College - Bedford (Main),1,Bedford,MA,1730,42.51,-71.27
Erie Community College- City Campus (Main),1,Buffalo,NY,14203,42.88,-78.87
Midland University,1,Fremont,NE,68025,41.44,-96.49
Mitchell College,2,New London,CT,6320,41.33,-72.09
The University of Alabama,3,Tuscaloosa,AL,35401,33.21,-87.55
University of South Carolina-Beaufort,1,Bluffton,SC,29909,32.3,-80.97
The University of Tennessee-Knoxville,3,Knoxville,TN,37916,35.9520732,-83.9258338
Coahoma Community College,2,Clarksdale,MS,38614,34.25,-90.57
Florida College,1,Temple Terrace,FL,33617,28.03,-82.38
University of Mary Washington,1,Fredericksburg,VA,22401,38.3,-77.47
Rice University,1,Houston,TX,77005,29.72,-95.4
Florida Agricultural and Mechanical University- Tallahassee (Main),1,Tallahassee,FL,32310,30.43,-84.29
Porterville College,1,Porterville,CA,93257,36.05,-119.02
University of Colorado Boulder,4,Boulder,CO,80302,40,-105.27
Truman State University,3,Kirksville,MO,63501,40.19,-92.58
New River Community and Technical College - Greenbrier Valley,1,Lewisburg,WV,24901,37.8,-80.46
East-West University,1,Chicago,IL,60605,41.87,-87.62
Daytona State College- New Smyrna,1,New Smyrna Beach,FL,32168,29,-80.93
Queens University of Charlotte,1,Charlotte,NC,28274,35.19,-80.83
University of Toledo- (Main),2,Toledo,OH,43606,41.66,-83.61
Lone Star College System- Tomball,2,Tomball,TX,77375,30.11,-95.64
Generations College,1,Chicago,IL,60602,41.88,-87.63
San Jose State University,3,San Jose,CA,95192,37.34,-121.88
Great Bay Community College - Portsmouth (Main),2,Portsmouth,NH,3801,43.07,-70.8
Ohio State University-Lima Campus,3,Lima,OH,45804,40.74,-84.03
Texas Tech University Health Sciences Center- Dallas SW,1,Dallas,TX,75235,32.82,-96.84
Emerson College,1,Boston,MA,2116,42.35,-71.07
College of William and Mary,3,Williamsburg,VA,23185,37.27,-76.71
Rollins College,5,Winter Park,FL,32789,28.59,-81.35
University of Wisconsin-La Crosse,2,La Crosse,WI,54601,43.81,-91.23
Texas A&M University-Kingsville,1,Kingsville,TX,78363,27.53,-97.88
Pennsylvania Academy of the Fine Arts,1,Philadelphia,PA,19102,39.96,-75.16
Evangel University,1,Springfield,MO,65802,37.22,-93.26
Keene State College,2,Keene,NH,3431,42.93,-72.28
Rocky Mountain College of Art and Design,1,Denver,CO,80224-2355,39.67889,-104.9088
Mid Michigan Community College- Mt. Pleasant,1,Mount Pleasant,MI,48858,43.6,-84.73
Lincoln Memorial University,1,Cumberland Gap,TN,37724,36.58,-83.66
Minnesota State University-Mankato,3,Mankato,MN,56001,44.15,-94
McPherson College,2,McPherson,KS,67460,38.37,-97.64
University of Maine at Fort Kent,2,Fort Kent,ME,4743,47.25,-68.59
Cuyamaca College,1,El Cajon,CA,92019,32.75,-116.94
National Louis University-Chicago Loop (Main),2,Chicago,IL,60603,41.88,-87.62
California State University-Bakersfield,1,Bakersfield,CA,93311,35.35,-119.1
Bowdoin College,1,Brunswick,ME,4011,43.91,-69.97
Louisiana Tech University- Ruston,1,Ruston,LA,71272,32.53,-92.65
Gannon University - Erie (Main),1,Erie,PA,16507,42.13,-80.09
University of Arkansas at Little Rock,1,Little Rock,AR,72204,34.72,-92.34
Chapman University,3,Orange,CA,92866,33.79,-117.85
Wor-Wic Community College,2,Salisbury,MD,21804,38.37,-75.5
Valencia College- Osceola,2,Kissimmee,FL,34744,28.3076221,-81.3816058
Central Piedmont Community College- Merancas,2,Huntersville,NC,28078,35.39,-80.84
University of Georgia- Athens (Main),8,Athens,GA,30609,33.95,-83.38
Oklahoma Christian University,1,Edmond,OK,73013,35.61,-97.47
University of Minnesota-Twin Cities (Minneapolis) Main,4,Minneapolis,MN,55455,44.98,-93.23
Central Arizona College- Apache Junction/Superstition Mountain,1,Apache Junction,AZ,85119,33.41,-111.54
University of Washington-Seattle Campus (Main),4,Seattle,WA,98105,47.66,-122.31
Stony Brook University- (Main),1,Stony Brook,NY,11790,40.91,-73.12
University of Illinois at Urbana-Champaign,6,Champaign,IL,61820,40.11,-88.23
Wittenberg University,1,Springfield,OH,45504,39.93,-83.81
Coconino Community College- Flagstaff (Main),1,Flagstaff,AZ,86001,35.17,-111.64
