CAMPUS_NAME,WALK_COUNT,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
University of Arkansas,3,Fayetteville,AR,72701,36.07,-94.18
Saint Louis Community College- Wildwood,1,Wildwood,MO,63040,38.57,-90.65
Messiah College,1,Mechanicsburg,PA,17055,40.16,-76.99
San Diego City College,1,San Diego,CA,92101,32.72,-117.15
University of Wisconsin - Green Bay at Martinette,1,Marinette,WI,54143,45.07,-87.61
Sierra College - Rocklin,2,Rocklin,CA,95677,38.79,-121.21
Cape Fear Community College - Wilmington (Main),1,Wilmington,NC,28401,34.24,-77.95
Keuka College,1,Keuka Park,NY,14478,42.62,-77.09
Arkansas State University-Main Campus,1,Jonesboro,AR,72401,35.84,-90.68
University of Minnesota-Rochester,1,Rochester,MN,55904,44.02,-92.46
San Antonio College,1,San Antonio,TX,78212,29.45,-98.49
California State University-Chico,1,Chico,CA,95928,39.72,-121.83
Houston Community College- Felix Fraga,1,Houston,TX,77003,29.75,-95.33
University of California-San Francisco (Mission Bay),1,San Francisco,CA,94158,37.77,-122.39
Bowling Green State University-Firelands,1,Huron,OH,44839,41.4,-82.59
Pennsylvania State University-Penn State Altoona,1,Altoona,PA,16601,40.54,-78.41
University of Connecticut- Avery Point,1,Groton,CT,6340,41.32,-72.06
Randolph College,2,Lynchburg,VA,24503,37.44,-79.17
North Dakota State College of Science - Wahpeton (Main),1,Wahpeton,ND,58075,46.27,-96.61
College of the Muscogee Nation,1,Okmulgee,OK,74447,35.64,-95.94
Cleveland Institute of Music,1,Cleveland,OH,44106,41.51,-81.61
Bunker Hill Community College- (Main),3,Boston,MA,2129,42.377158,-71.069383
Ithaca College,1,Ithaca,NY,14850,42.42,-76.5
Saint Cloud State University,1,St. Cloud,MN,56301,45.55,-94.15
Meadville Lombard Theological School,1,Chicago,IL,60601,41.8855192,-87.6265479
Chippewa Valley Technical College - River Falls,1,River Falls,WI,54022,44.85,-92.61
University of Portland,1,Portland,OR,97203,45.57,-122.73
Oak Hills Christian College,1,Bemidji,MN,56601,47.43,-94.9
Jefferson State Community College - Birmingham-Jefferson,1,Birmingham,AL,35215,33.65,-86.71
Muskingum University,1,New Concord,OH,43762,40,-81.74
Pellissippi State Community College- Hardin Valley (Main),1,Knoxville,TN,37932,35.95,-84.17
Seminole State College of Florida- Heathrow,1,Lake Mary,FL,32746,28.77,-81.36
Long Island University - Brentwood,1,Brentwood,NY,11717,40.8,-73.27
North Idaho College,1,Coeur d'Alene,ID,83814,47.68,-116.8
SOWELA Technical Community College - Lake Charles,3,Lake Charles,LA,70615,30.22,-93.16
Whitman College,1,Walla Walla,WA,99362,46.07,-118.33
Black River Technical College,1,Pocahontas,AR,72455,36.24,-90.95
Chadron State College,1,Chadron,NE,69337,42.82,-102.99
North Central Missouri College,1,Trenton,MO,64683,40.08,-93.62
Pennsylvania State University-Penn State Great Valley,1,Malvern,PA,19355,40.05,-75.52
Pennsylvania State University-Penn State Erie-Behrend College,1,Erie,PA,16510,42.12,-79.99
Collin County Community College District- Spring Creek,1,Plano,TX,75074,33.05,-96.68
Liberty University,1,Lynchburg,VA,24502,37.35,-79.18
Quinebaug Valley Community College,1,Killingly,CT,6239,41.83,-71.89
Loyola Marymount University,1,Los Angeles,CA,90045,33.97,-118.42
Kennesaw State University - Kennesaw,1,Kennesaw,GA,30144,34.04,-84.58
American Islamic College,1,Chicago,IL,60613,41.95,-87.65
Miami University-Oxford (Main),4,Oxford,OH,45056,39.51,-84.73
Roosevelt University - Chicago (Main),1,Chicago,IL,60605,41.88,-87.63
Western Nebraska Community College,1,Scottsbluff,NE,69361,41.88,-103.64
