date,week,day,Brand,Sub_Category,Description,group,garmentId,new,hex1,hex2,hex3,hex4,hex5,sold
2/4/2021,18,4,,vest,Striped sweater,Knit Tops,328,N,#101a42,#b63a32,#872721,#e0dde2,#b2aeb4,
2/4/2021,18,4,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
2/5/2021,18,5,The Reformation,jeans,Saddle,Jeans,106,Y,#121b2a,#526479,#374556,#6e7f94,#a4aeb9,
2/5/2021,18,5,Leset,top,Long-sleeved wrap,Knit Tops,307,Y,#172c1e,#102417,#0c1d0f,#010303,#333837,
2/5/2021,18,5,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
2/6/2021,18,6,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,
2/6/2021,18,6,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts,315,N,#000001,#000002,#010203,#05060a,#020204,
2/6/2021,18,6,J. Crew,jacket,Quilted,Jackets,406,N,#2b2810,#54453b,#21210d,#3b2318,#b9a881,
2/7/2021,18,7,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,
2/7/2021,18,7,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts,313,N,#020404,#656155,#2a2a26,#9d9c85,#c0c5c8,
2/7/2021,18,7,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
2/8/2021,19,1,Madewell,jeans,Demi-boot,Jeans,108,N,#2b2c35,#020305,#1a1c27,#3e4047,#5c5e64,Y
2/8/2021,19,1,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops,308,N,#5b6278,#828899,#454d62,#989ca9,#d8d7d8,
2/8/2021,19,1,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
2/9/2021,19,2,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,
2/9/2021,19,2,Madewell,bodysuit,Velvet wrap,Bodysuits,316,N,#8f7971,#9a857d,#836c65,#ae9b95,#d3c8c4,
2/9/2021,19,2,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
2/10/2021,19,3,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,
