actor,show,year,top_cast,episodes
Patricia Arquette,Medium,2005,Maria Lark,130
Patricia Arquette,Medium,2005,Tina DiJoseph,130
Patricia Arquette,The Ellen DeGeneres Show,2003,Ellen DeGeneres,2
Patricia Arquette,Celebrities Uncensored,2003,Ben Affleck,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Sherri Shepherd,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Howie Mandel,2
Patricia Arquette,Celebrities Uncensored,2003,Paris Hilton,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Betty White,2
Patricia Arquette,Celebrities Uncensored,2003,Jess Harnell,2
Patricia Arquette,Celebrities Uncensored,2003,Demi Moore,2
Patricia Arquette,Celebrities Uncensored,2003,Tommy Lee,2
Patricia Arquette,Celebrities Uncensored,2003,Britney Spears,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Leah Remini,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Jennifer Love Hewitt,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Stephen Boss,2
Patricia Arquette,Celebrities Uncensored,2003,Brad Pitt,2
Patricia Arquette,Celebrities Uncensored,2003,Anna Nicole Smith,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Tony Okungbowa,2
Patricia Arquette,Celebrities Uncensored,2003,George Clooney,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Queen Latifah,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Paul Guilfoyle,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Marg Helgenberger,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,William Petersen,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Eric Szmanda,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Robert David Hall,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,George Eads,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Gary Dourdan,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Jorja Fox,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Wallace Langham,2
Patricia Arquette,The View,1997,Meredith Vieira,2
Patricia Arquette,The View,1997,Lisa Ling,2
Patricia Arquette,The View,1997,Sherri Shepherd,2
Patricia Arquette,The View,1997,Whoopi Goldberg,2
Patricia Arquette,The View,1997,Elisabeth Hasselbeck,2
Patricia Arquette,The View,1997,Star Jones,2
Patricia Arquette,The View,1997,Debbie Matenopoulos,2
Patricia Arquette,The View,1997,Barbara Walters,2
Patricia Arquette,The View,1997,Joy Behar,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Terry Bradshaw,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Jay Leno,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Howie Mandel,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Larry the Cable Guy,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Dennis Miller,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Bill Maher,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Prince,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Phil McGraw,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Wanda Sykes,2
Patricia Arquette,Today,1952,Anita Colby,3
Patricia Arquette,Today,1952,Al Roker,3
Patricia Arquette,Today,1952,Matt Lauer,3
Patricia Arquette,Today,1952,Prince,3
Patricia Arquette,Today,1952,Jane Pauley,3
Patricia Arquette,Today,1952,Barbara Walters,3
Patricia Arquette,Today,1952,Joan Rivers,3
Patricia Arquette,Today,1952,Alan Jackson,3
Patricia Arquette,Today,1952,Farrah Fawcett,3
Patricia Arquette,CSI: Cyber,2015,Charley Koontz,31
Patricia Arquette,CSI: Cyber,2015,Hugh Holub,31
Patricia Arquette,CSI: Cyber,2015,Patricia Arquette,31
Patricia Arquette,CSI: Cyber,2015,Hayley Kiyoko,31
Patricia Arquette,CSI: Cyber,2015,Shad Moss,31
Patricia Arquette,CSI: Cyber,2015,Peter MacNicol,31
Patricia Arquette,CSI: Cyber,2015,Carlson Young,31
Patricia Arquette,CSI: Cyber,2015,Ted Danson,31
Patricia Arquette,CSI: Cyber,2015,James Van Der Beek,31
Patricia Arquette,Boardwalk Empire,2010,Greg Antonacci,5
Patricia Arquette,Boardwalk Empire,2010,Vincent Piazza,5
Patricia Arquette,Boardwalk Empire,2010,Michael Shannon,5
Patricia Arquette,Boardwalk Empire,2010,Michael Kenneth Williams,5
Patricia Arquette,Boardwalk Empire,2010,Gretchen Mol,5
Patricia Arquette,Boardwalk Empire,2010,Shea Whigham,5
Patricia Arquette,Boardwalk Empire,2010,Steve Buscemi,5
Patricia Arquette,Boardwalk Empire,2010,Stephen Graham,5
Patricia Arquette,Boardwalk Empire,2010,Kelly Macdonald,5
Patricia Arquette,Escape at Dannemora,2018,Skipp Sudduth,7
Patricia Arquette,Escape at Dannemora,2018,Paul Dano,7
Patricia Arquette,Escape at Dannemora,2018,read the rest.,7
Patricia Arquette,Escape at Dannemora,2018,Jeremy Bobb,7
