actor,show,year,top_cast,episodes
Patricia Arquette,CSI: Cyber,2015,Peter MacNicol,31
Patricia Arquette,CSI: Cyber,2015,Carlson Young,31
Patricia Arquette,CSI: Cyber,2015,Ted Danson,31
Patricia Arquette,CSI: Cyber,2015,James Van Der Beek,31
Laurie Metcalf,Desperate Housewives,2004,Eva Longoria,16
Laurie Metcalf,Desperate Housewives,2004,Brenda Strong,16
Laurie Metcalf,Desperate Housewives,2004,Teri Hatcher,16
Laurie Metcalf,Desperate Housewives,2004,Marcia Cross,16
Laurie Metcalf,Desperate Housewives,2004,Andrea Bowen,16
Laurie Metcalf,Desperate Housewives,2004,Felicity Huffman,16
Laurie Metcalf,Desperate Housewives,2004,Doug Savant,16
Laurie Metcalf,Desperate Housewives,2004,James Denton,16
Laurie Metcalf,Desperate Housewives,2004,Ricardo Chavira,16
Charlotte Rampling,Dexter,2006,C.S. Lee,10
Charlotte Rampling,Dexter,2006,Desmond Harrington,10
Charlotte Rampling,Dexter,2006,Jennifer Carpenter,10
Charlotte Rampling,Dexter,2006,Lauren Vթlez,10
Charlotte Rampling,Dexter,2006,Michael C. Hall,10
Charlotte Rampling,Dexter,2006,Julie Benz,10
Charlotte Rampling,Dexter,2006,James Remar,10
Charlotte Rampling,Dexter,2006,read the rest.,10
Charlotte Rampling,Dexter,2006,Aimee Garcia,10
Charlotte Rampling,Dexter,2006,David Zayas,10
Richard E. Grant,Dig,2015,Anne Heche,10
Richard E. Grant,Dig,2015,Jason Isaacs,10
Richard E. Grant,Dig,2015,Omar Metwally,10
Richard E. Grant,Dig,2015,Alison Sudol,10
Richard E. Grant,Dig,2015,Ori Pfeffer,10
Richard E. Grant,Dig,2015,Zen McGrath,10
Richard E. Grant,Dig,2015,Lauren Ambrose,10
Richard E. Grant,Dig,2015,Richard E. Grant,10
Richard E. Grant,Dig,2015,Angela Bettis,10
Naomie Harris,Erasmus Microman,1988,Ken Campbell,14
Naomie Harris,Erasmus Microman,1988,Nick Pickard,14
Naomie Harris,Erasmus Microman,1988,Naomie Harris,14
Olivia Colman,Fleabag,2016,Hugh Dennis,12
Olivia Colman,Fleabag,2016,Sian Clifford,12
Olivia Colman,Fleabag,2016,Olivia Colman,12
Olivia Colman,Fleabag,2016,Jenny Rainsford,12
Olivia Colman,Fleabag,2016,Phoebe Waller-Bridge,12
Olivia Colman,Fleabag,2016,Brett Gelman,12
Olivia Colman,Fleabag,2016,Hugh Skinner,12
Olivia Colman,Fleabag,2016,Jamie Demetriou,12
Olivia Colman,Fleabag,2016,Bill Paterson,12
Olivia Colman,Flowers,2016,Will Sharpe,12
Olivia Colman,Flowers,2016,Alistair Green,12
Olivia Colman,Flowers,2016,Zita Sattar,12
Olivia Colman,Flowers,2016,Olivia Colman,12
Olivia Colman,Flowers,2016,Sophia Di Martino,12
Olivia Colman,Flowers,2016,Daniel Rigby,12
Olivia Colman,Flowers,2016,Rico Canadinhas,12
Olivia Colman,Flowers,2016,Anna Chancellor,12
Olivia Colman,Flowers,2016,Julian Barratt,12
Bryan Cranston,From the Earth to the Moon,1998,Stephen Root,12
Bryan Cranston,From the Earth to the Moon,1998,Lane Smith,12
Bryan Cranston,From the Earth to the Moon,1998,Tim Daly,12
Bryan Cranston,From the Earth to the Moon,1998,David Clyde Carr,12
Bryan Cranston,From the Earth to the Moon,1998,Steve Hofvendahl,12
Bryan Cranston,From the Earth to the Moon,1998,Daniel Hugh Kelly,12
Bryan Cranston,From the Earth to the Moon,1998,David Andrews,12
Bryan Cranston,From the Earth to the Moon,1998,Nick Searcy,12
Bryan Cranston,From the Earth to the Moon,1998,Tom Hanks,12
Jonathan Pryce,Game of Thrones,2011,Maisie Williams,20
Jonathan Pryce,Game of Thrones,2011,Conleth Hill,20
Jonathan Pryce,Game of Thrones,2011,Nikolaj Coster-Waldau,20
Jonathan Pryce,Game of Thrones,2011,Lena Headey,20
Jonathan Pryce,Game of Thrones,2011,Sophie Turner,20
Jonathan Pryce,Game of Thrones,2011,Peter Dinklage,20
Jonathan Pryce,Game of Thrones,2011,John Bradley,20
Jonathan Pryce,Game of Thrones,2011,Kit Harington,20
Jonathan Pryce,Game of Thrones,2011,Emilia Clarke,20
Antonio Banderas,Genius,2017,Seth Gabel,10
Antonio Banderas,Genius,2017,Alex Rich,10
Antonio Banderas,Genius,2017,Antonio Banderas,10
Antonio Banderas,Genius,2017,Geoffrey Rush,10
Antonio Banderas,Genius,2017,Michael McElhatton,10
Antonio Banderas,Genius,2017,Clթmence Poթsy,10
Antonio Banderas,Genius,2017,Johnny Flynn,10
Antonio Banderas,Genius,2017,Samantha Colley,10
Antonio Banderas,Genius,2017,Emily Watson,10
Adam Driver,Girls,2012,Adam Driver,62
Adam Driver,Girls,2012,Lena Dunham,62
Adam Driver,Girls,2012,Zosia Mamet,62
Adam Driver,Girls,2012,Jemima Kirke,62
Adam Driver,Girls,2012,Allison Williams,62
Laurie Metcalf,"God, the Devil and Bob",2000,Laurie Metcalf,13
Laurie Metcalf,"God, the Devil and Bob",2000,Harriet Sansom Harris,13
Laurie Metcalf,"God, the Devil and Bob",2000,Alan Cumming,13
Laurie Metcalf,"God, the Devil and Bob",2000,James Garner,13
Laurie Metcalf,"God, the Devil and Bob",2000,French Stewart,13
Laurie Metcalf,"God, the Devil and Bob",2000,Jeff Doucette,13
Laurie Metcalf,"God, the Devil and Bob",2000,Nancy Cartwright,13
Laurie Metcalf,"God, the Devil and Bob",2000,Kath Soucie,13
Laurie Metcalf,"God, the Devil and Bob",2000,Sarah Michelle Gellar,13
Olivia Colman,Green Wing,2004,Pippa Haywood,18
Olivia Colman,Green Wing,2004,Mark Heap,18
Olivia Colman,Green Wing,2004,Stephen Mangan,18
Olivia Colman,Green Wing,2004,Michelle Gomez,18
Olivia Colman,Green Wing,2004,Sarah Alexander,18
Olivia Colman,Green Wing,2004,Karl Theobald,18
Olivia Colman,Green Wing,2004,Stephen Merchant,18
Olivia Colman,Green Wing,2004,Sally Bretton,18
Olivia Colman,Green Wing,2004,Tamsin Greig,18
Richard E. Grant,Home Farm Twins,1999,Lisa Coleman,81
Richard E. Grant,Home Farm Twins,1999,Richard E. Grant,81
Richard E. Grant,Home Farm Twins,1999,Tom Felton,81
Richard E. Grant,Home Farm Twins,1999,Lucinda Dryzek,81
Richard E. Grant,Home Farm Twins,1999,Martin Ball,81
Richard E. Grant,Home Farm Twins,1999,Todd Boyce,81
Mahershala Ali,House of Cards,2013,Michael Kelly,52
Mahershala Ali,House of Cards,2013,Kevin Spacey,52
Mahershala Ali,House of Cards,2013,read the rest.,52
Mahershala Ali,House of Cards,2013,Nathan Darrow,52
Mahershala Ali,House of Cards,2013,Jayne Atkinson,52
Mahershala Ali,House of Cards,2013,Mahershala Ali,52
Mahershala Ali,House of Cards,2013,Derek Cecil,52
Mahershala Ali,House of Cards,2013,Sebastian Arcelus,52
Mahershala Ali,House of Cards,2013,Boris McGiver,52
Mahershala Ali,House of Cards,2013,Robin Wright,52
Richard E. Grant,Jekyll and Hyde,2015,Tom Bateman,10
Richard E. Grant,Jekyll and Hyde,2015,Christian McKay,10
Richard E. Grant,Jekyll and Hyde,2015,Richard E. Grant,10
Richard E. Grant,Jekyll and Hyde,2015,Natalie Gumede,10
Richard E. Grant,Jekyll and Hyde,2015,Donald Sumpter,10
Richard E. Grant,Jekyll and Hyde,2015,Stephanie Hyam,10
Richard E. Grant,Jekyll and Hyde,2015,Enzo Cilenti,10
Olivia Colman,Look Around You,2002,Nick Frost,14
Olivia Colman,Look Around You,2002,Peter Serafinowicz,14
Olivia Colman,Look Around You,2002,David Mitchell,14
Olivia Colman,Look Around You,2002,Olivia Colman,14
Olivia Colman,Look Around You,2002,David Walliams,14
Olivia Colman,Look Around You,2002,Josephine D'Arby,14
Olivia Colman,Look Around You,2002,Simon Pegg,14
Olivia Colman,Look Around You,2002,Nigel Lambert,14
Olivia Colman,Look Around You,2002,Robert Popper,14
Ruth Negga,Love/Hate,2010,Peter Coonan,10
Ruth Negga,Love/Hate,2010,Charlie Murphy,10
Ruth Negga,Love/Hate,2010,Aoibhinn McGinnity,10
Ruth Negga,Love/Hate,2010,Tom Vaughan-Lawlor,10
Ruth Negga,Love/Hate,2010,Robert Sheehan,10
Ruth Negga,Love/Hate,2010,Killian Scott,10
Ruth Negga,Love/Hate,2010,Laurence Kinlan,10
Ruth Negga,Love/Hate,2010,Br�_an F. O'Byrne,10
Ruth Negga,Love/Hate,2010,Aidan Gillen,10
Bryan Cranston,Malcolm in the Middle,2000,Bryan Cranston,151
Bryan Cranston,Malcolm in the Middle,2000,Erik Per Sullivan,151
Bryan Cranston,Malcolm in the Middle,2000,Frankie Muniz,151
Bryan Cranston,Malcolm in the Middle,2000,Jane Kaczmarek,151
Bryan Cranston,Malcolm in the Middle,2000,Justin Berfield,151
Bryan Cranston,Malcolm in the Middle,2000,Lukas Rodriguez,151
Bryan Cranston,Malcolm in the Middle,2000,Craig Lamar Traylor,151
Bryan Cranston,Malcolm in the Middle,2000,Christopher Masterson,151
Bryan Cranston,Malcolm in the Middle,2000,James Rodriguez,151
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Elizabeth Henstridge,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Natalia C�_rdova-Buckley,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Brett Dalton,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Clark Gregg,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Chloe Bennet,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Ming-Na Wen,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Henry Simmons,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Adrian Pasdar,16
Ruth Negga,Marvel's Agents of S.H.I.E.L.D.,2013,Iain De Caestecker,16
Patricia Arquette,Medium,2005,Sofia Vassilieva,130
Patricia Arquette,Medium,2005,Miranda Carabello,130
Patricia Arquette,Medium,2005,Jake Weber,130
Patricia Arquette,Medium,2005,Patricia Arquette,130
Patricia Arquette,Medium,2005,David Cubitt,130
Patricia Arquette,Medium,2005,Bruce Gray,130
Patricia Arquette,Medium,2005,Miguel Sandoval,130
Patricia Arquette,Medium,2005,Maria Lark,130
Patricia Arquette,Medium,2005,Tina DiJoseph,130
Allison Janney,Mom,2013,Allison Janney,151
Allison Janney,Mom,2013,Beth Hall,151
Allison Janney,Mom,2013,Jaime Pressly,151
Allison Janney,Mom,2013,Mimi Kennedy,151
Allison Janney,Mom,2013,Anna Faris,151
Lesley Manville,Mum,2016,Karl Johnson,18
Lesley Manville,Mum,2016,Peter Mullan,18
Lesley Manville,Mum,2016,Lesley Manville,18
Lesley Manville,Mum,2016,Lisa McGrillis,18
Lesley Manville,Mum,2016,Dorothy Atkinson,18
Lesley Manville,Mum,2016,Ross Boatman,18
Lesley Manville,Mum,2016,Marlene Sidaway,18
Lesley Manville,Mum,2016,Sam Swainsbury,18
Lesley Manville,Mum,2016,Seline Hizli,18
Margot Robbie,Neighbours,1985,Francis Bell,699
Margot Robbie,Neighbours,1985,Daniel MacPherson,699
Margot Robbie,Neighbours,1985,Ryan Thomas,699
Margot Robbie,Neighbours,1985,Anthony Hammer,699
Margot Robbie,Neighbours,1985,Carla Bonner,699
Margot Robbie,Pan Am,2011,Christina Ricci,14
