web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575148965-5162","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","TUBE DRESS WITH TIED STRAPS","https://www.zara.com/us/en/tube-dress-with-tied-straps-p00017207.html","TUBE DRESS WITH TIED STRAPS Details","39.90 USD","Oyster White"
"1575153609-5639","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RIBBED DRESS","https://www.zara.com/us/en/ribbed-dress-p03641853.html","RIBBED DRESS Details","17.90 USD","Red"
"1575149435-5387","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FLOWY PRINTED DRESS","https://www.zara.com/us/en/flowy-printed-dress-p07615130.html","FLOWY PRINTED DRESS Details","49.90 USD","Khaki"
"1575153687-5677","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUFFLED DRESS","https://www.zara.com/us/en/ruffled-dress-p04886461.html","RUFFLED DRESS Details","39.90 USD","Black"
"1575148963-5161","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","SEQUIN WRAP DRESS","https://www.zara.com/us/en/sequin-wrap-dress-p07788301.html","SEQUIN WRAP DRESS Details","69.90 USD","Black"
"1575153567-5619","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","SPARKLY VELVET DRESS","https://www.zara.com/us/en/sparkly-velvet-dress-p00387204.html","SPARKLY VELVET DRESS Details","69.90 USD","Black"
"1575148372-4863","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","null","","","",""
"1575148537-4959","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","DENIM DRESS WITH PUFF SLEEVES","https://www.zara.com/us/en/denim-dress-with-puff-sleeves-p06929207.html","DENIM DRESS WITH PUFF SLEEVES Details","49.90 USD","Navy blue"
"1575148473-4928","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FLOWY MIDI DRESS","https://www.zara.com/us/en/flowy-midi-dress-p04786295.html","FLOWY MIDI DRESS Details","null","Green"
"1575148729-5049","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","DRESS WITH VOLUMINOUS SLEEVES","https://www.zara.com/us/en/dress-with-voluminous-sleeves-p05644810.html","DRESS WITH VOLUMINOUS SLEEVES Details","29.90 USD","Black"
"1575148430-4907","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","TULLE SWISS DOT DRESS","https://www.zara.com/us/en/tulle-swiss-dot-dress-p07563242.html","TULLE SWISS DOT DRESS Details","49.90 USD","Black"
"1575149490-5414","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","STATUE PRINT DRESS","https://www.zara.com/us/en/statue-print-dress-p00264677.html","STATUE PRINT DRESS Details","169.00 USD","Oyster White"
"1575148447-4915","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUFFLED ASYMMETRIC DRESS","https://www.zara.com/us/en/ruffled-asymmetric-dress-p09878166.html","RUFFLED ASYMMETRIC DRESS Details","49.90 USD","Green"
"1575148440-4912","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUFFLED BELTED JUMPSUIT","https://www.zara.com/us/en/ruffled-belted-jumpsuit-p07737507.html","RUFFLED BELTED JUMPSUIT Details","169.00 USD","Black"
"1575149414-5377","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","KNIT DRESS WITH LACE DETAIL","https://www.zara.com/us/en/knit-dress-with-lace-detail-p00014100.html","KNIT DRESS WITH LACE DETAIL Details","89.90 USD","Black"
"1575149558-5447","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","CONTRASTING MINI DRESS","https://www.zara.com/us/en/contrasting-mini-dress-p00264453.html","CONTRASTING MINI DRESS Details","39.90 USD","Black"
"1575149380-5361","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","EMBROIDERED MIDI DRESS","https://www.zara.com/us/en/embroidered-midi-dress-p05039470.html","EMBROIDERED MIDI DRESS Details","89.90 USD","Bright orange"
"1575148878-5120","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUFFLED KNIT DRESS","https://www.zara.com/us/en/ruffled-knit-dress-p02142108.html","RUFFLED KNIT DRESS Details","49.90 USD","Black"
"1575148494-4938","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FLORAL PRINT DRESS","https://www.zara.com/us/en/floral-print-dress-p04886095.html","FLORAL PRINT DRESS Details","69.90 USD","Orange"
