web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575147828-4800","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","JEWEL BUTTON TOP","https://www.zara.com/us/en/jewel-button-top-p00264002.html","JEWEL BUTTON TOP Details","29.90 USD","Ecru"
"1575147670-4728","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","LOONEY TUNES © &™ WARNER BROS. T-SHIRT","https://www.zara.com/us/en/looney-tunes-%C2%A9--%E2%84%A2-warner-bros--t-shirt-p00264651.html","LOONEY TUNES © &™ WARNER BROS. T-SHIRT Details","25.90 USD","Charcoal"
"1575147080-4447","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","©DISNEY PRINCESS SHIRT","https://www.zara.com/us/en/%C2%A9disney-princess-shirt-p00208902.html","©DISNEY PRINCESS SHIRT Details","19.90 USD","White"
"1575147270-4537","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","T-SHIRT WITH KNOTTED FRONT","https://www.zara.com/us/en/t-shirt-with-knotted-front-p05580700.html","T-SHIRT WITH KNOTTED FRONT Details","25.90 USD","White"
"1575147322-4562","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FAUX SUEDE HALTER TOP","https://www.zara.com/us/en/faux-suede-halter-top-p02712627.html","FAUX SUEDE HALTER TOP Details","25.90 USD","Black"
"1575146935-4349","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147722-4749","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","WASHED SHIRT","https://www.zara.com/us/en/washed-shirt-p00962632.html","WASHED SHIRT Details","12.90 USD","Charcoal"
"1575147206-4507","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","CONTRAST TOP","https://www.zara.com/us/en/contrast-top-p05070634.html","CONTRAST TOP Details","19.90 USD","White"
"1575146935-4352","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147045-4432","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","CROP TOP WITH FRONT TEXT","https://www.zara.com/us/en/crop-top-with-front-text-p05643803.html","CROP TOP WITH FRONT TEXT Details","9.90 USD","White"
"1575147526-4658","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FRONT PRINT T-SHIRT","https://www.zara.com/us/en/front-print-t-shirt-p09362626.html","FRONT PRINT T-SHIRT Details","12.90 USD","Black / White"
