ypos,Brand,Primary_Color,Secondary_Color,Pattern,Pattern_ID,group_ID,group,Category,Sub_Category,group_y,Worn,Description,Year_Entered,Era,Gifted,Vintage,Online_Purchase,Traveling_Purchase,Quarantine_Purchase,Era_Date_Start,Era_End_Date,Notes
34,& Other Stories,#3e4a66,#FFFFFF,Y,42,1,Bodysuits,Tops,bodysuit,1,N,Giorgia Lupi,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",The pattern is data-driven; I wore this when I attended Giorgia Lupi's talk last year about data humanism
35,,#59412e,#FFFFFF,Y,43,1,Bodysuits,Tops,bodysuit,2,N,Sleeveless color-block,2019,"Roslindale, MA",N,Y,N,N,N,"June, 2019","June, 2020",It's actually a deadstock bathing suit!
29,Madewell,#b7857e,,N,,1,Bodysuits,Tops,bodysuit,1,Y,Velvet wrap,2017,"The Orme School, Mayer, AZ",N,N,Y,N,N,"September, 2016","June, 2019",A little dated but I'm hoping pink velvet comes back around
1,The North Face,#000000,,N,,2,Coats,Outwear,coat,1,N,Long quilted,2007,"Freshman Year, Middlebury College",Y,N,N,N,N,"September, 2006","May, 2008",Moving to Vermont necessitated a sleeping bag coat
2,J. Crew,#d7b898,,N,,2,Coats,Outwear,coat,2,N,Trench,2009,"Study Abroad, London",Y,N,N,Y,N,"August, 2009","June, 2010",Now I never need to buy a trench coat again
10,Aritzia,#5e383b,#435658,Y,19,2,Coats,Outwear,coat,1,Y,Wool plaid,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",New fall coat
1,Yael Aflalo,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,1,N,Silk cocktail,2007,"Freshman Year, Middlebury College",Y,N,Y,N,N,"September, 2006","May, 2008","Purchased for Homecoming, still wear to weddings"
2,Mint,#514941,,N,,,Dresses,Dresses & Jumpsuits,dress,2,N,Wool bow-back,2008,"Sophomore Year, Middlebury College",Y,N,N,Y,N,"September, 2008","May, 2009",I wore this to an after-hours tour of the Met during my senior year and felt very artsy
3,United Colors of Benetton,#423c36,,N,,,Dresses,Dresses & Jumpsuits,dress,3,N,Wool shift,2008,"Sophomore Year, Middlebury College",Y,N,N,Y,N,"September, 2008","May, 2009",This is too short and tight now to be work-appropriate but I still love the pockets
4,Madewell,#43467c,,N,,,Dresses,Dresses & Jumpsuits,dress,4,N,Long-sleeved rib-knit,2011,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014","This one is so old, it's from before Madewell clothes had Madewell labels"
5,Bill Blass for Maurice Rentner,#000000,#FFFFFF,Y,6,,Dresses,Dresses & Jumpsuits,dress,5,N,Velvet & silk,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This allegedly once belonged to a tiny French model in the 70s
6,Cynthia Steffe,#e7cbae,,N,,,Dresses,Dresses & Jumpsuits,dress,6,N,Sequined mesh mini,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",Purchased for Steven's wizard party when we were still just friends
7,,#6bd3db,#f9b7df,Y,7,,Dresses,Dresses & Jumpsuits,dress,7,N,Camp Beverley Hills graphic tube,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014","Got this with Steven on an adventure to a tiny vintage store in the valley. I told the shopowner I wanted ""something scampy"""
9,,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,8,N,Velvet burnout prom,2014,"Moved in with Steven, Nottingham",N,Y,N,Y,N,"June, 2014","September, 2014",Got this in Berlin! Wore it to the last Orme prom we attended before moving east
10,,#5ccccc,#FFFFFF,Y,9,,Dresses,Dresses & Jumpsuits,dress,9,N,Floral-print qipao,2014,"Hangzhou, China",Y,N,N,N,N,"September, 2014","July, 2016",First birthday in China
12,,#FFFFFF,#f97384,Y,10,,Dresses,Dresses & Jumpsuits,dress,10,N,Floral-print skort,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Kyoto has surprisingly good vintage shopping
13,,#ffc410,#ec5c18,Y,11,,Dresses,Dresses & Jumpsuits,dress,11,N,Floral Knit,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016","Steven convinced me to get this one, it looks like it was made on a home sewing machine"
18,,#e51e26,#1c2577,Y,13,,Dresses,Dresses & Jumpsuits,dress,12,N,Wool plaid shift,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Wore this for Halloween 2009 when I went as a red bird
19,H & M,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,13,N,Wrap suiting,2017,"The Orme School, Mayer, AZ",Y,N,N,Y,N,"September, 2016","June, 2019",Maybe one day I'll attend an event that makes sense for this dress
20,XOXO,#5f4633,#f2cead,Y,14,,Dresses,Dresses & Jumpsuits,dress,14,N,Embroidered shift,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Wore this to the first Orme prom we attended
21,,#9eba9e,,N,,,Dresses,Dresses & Jumpsuits,gown,15,N,Beaded mesh flapper,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Awesome Palm Springs find; great for weddings with a white bodysuit layered underneath
24,& Other Stories,#b8956a,,N,,,Dresses,Dresses & Jumpsuits,dress,16,N,Button-front corduroy,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Work dress
17,Betsy Johnson,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,17,N,Pinafore,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Channeling 90s layering styles
5,Betabrand,#b8b9ba,#000000,Y,16,3,Jackets,Outwear,jacket,1,N,Disco ball,2013,Los Angeles,Y,N,Y,N,N,"June, 2011","June, 2014",First gift from Steven; it's made from recycled disco balls!
3,Closed,#8e6f55,,N,,3,Jackets,Outwear,jacket,1,Y,Leather motorcycle,2011,"Senior Year, Middlebury College",Y,N,N,Y,N,10-Sep,"May, 2011",I had a Vespa when I first moved to LA; I'd wear this jacket every day layered over at least one thick sweater and would still freeze my ass off
4,Madewell,#b28256,#000000,Y,15,3,Jackets,Outwear,jacket,2,Y,Houndstooth sweater,2011,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Every fall I live in this
6,J. Crew,#6d673d,,N,,3,Jackets,Outwear,jacket,3,Y,Quilted,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Almost too prepy but so practical
7,J. Crew,#93a0a3,,N,,3,Jackets,Outwear,jacket,4,Y,Denim,2014,"Hangzhou, China",Y,Y,N,Y,N,"September, 2014","July, 2016",To replace a similar one I left on a bus in Aachen
8,,#af102c,#814979,Y,17,3,Jackets,Outwear,jacket,5,Y,Yak-wool long,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016","Purchased in Nepal to commemorate our engagement, not sure if it is real yak"
9,,#a90515,#000000,Y,18,3,Jackets,Outwear,shawl,6,Y,Houndstooth blanket,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Blanket scarf FTW
7,Madewell,#70797f,,N,,4,Jeans,Bottoms,jeans,1,Y,Straight-leg,2016,"The Orme School, Mayer, AZ",Y,N,N,Y,N,"September, 2016","June, 2019",Oldest jeans in circulation
8,Madewell,#4d4d4d,,N,,4,Jeans,Bottoms,jeans,2,Y,Demi-boot,2016,"The Orme School, Mayer, AZ",Y,N,N,Y,N,,,Patched these up after tearing a massive hole in them
9,Madewell,#000000,,N,,4,Jeans,Bottoms,jeans,3,Y,Skinny,2016,"The Orme School, Mayer, AZ",N,N,Y,N,N,"September, 2016","June, 2019",These are about to tear in a number of places but I can't stop wearing them
12,Madewell,#668596,,N,,4,Jeans,Bottoms,jeans,4,Y,Wide-leg button-fly,2019,"Roslindale, MA",Y,N,N,Y,N,"June, 2019","June, 2020",These are my best-fitting jeans at the moment
16,Agolde,#f9f3ed,,N,,4,Jeans,Bottoms,jeans,5,Y,Wide-leg,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2020",and beyond,Every time I wear these they end up mysteriously stained
17,Madewell,#000000,,N,,4,Jeans,Bottoms,jeans,6,Y,High-waisted wide-leg,2020,"Lawrence, MA",Y,N,Y,N,Y,"June, 2020",and beyond,New jeans! Still breaking them in
18,The Reformation,#8f9eb5,,N,,4,Jeans,Bottoms,jeans,7,Y,Saddle,2020,"Lawrence, MA",Y,N,Y,N,Y,"June, 2020",and beyond,These have a silly no-butt-pocket design that reminds me of middle school in the best way
14,,#eddc77,#f33fa9,Y,27,5,Knit Tops,Tops,tee,1,N,Sunglasses graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",So summery
15,,#FFFFFF,#ea0502,Y,28,5,Knit Tops,Tops,tee,2,N,Running of the Bulls graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This shirt is amazing! It's like part of a theatre costume; splattered in blood with a hole where the bull's horn pierced the original owner
16,,#000000,#FFFFFF,Y,29,5,Knit Tops,Tops,tee,3,N,EDA graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",I like to wear this one and see if people notice it has a stripped on it
17,Aritzia,#000000,#FFFFFF,Y,30,5,Knit Tops,Tops,vest,4,N,Ribbed sweater,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Work top
18,,#a5a19f,,N,,5,Knit Tops,Tops,vest,5,N,sweater,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This one always makes me think of Clueless; it's probably from the 90s
21,,#339966,#e9a413,Y,32,5,Knit Tops,Tops,tee,6,N,Cal-Poly graphic ringer,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Portland OR right before we got married
22,,#FFFFFF,#b8d8e8,Y,33,5,Knit Tops,Tops,tee,7,N,California Raisins ringer,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Portland OR right before we got married
23,,#000000,#FFFFFF,Y,34,5,Knit Tops,Tops,vest,8,N,Abstract-print sweater,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Claremont CA right after we got married
24,Muji,#FFFFFF,#000000,Y,35,5,Knit Tops,Tops,tank,9,N,Ribbed striped ,2016,"Hangzhou, China",N,N,N,Y,N,"September, 2014","July, 2016",From our pilgrimage to the Muji flagship store
25,,#1b2278,#d02624,Y,36,5,Knit Tops,Tops,vest,10,N,Striped sweater,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",To wear with my Marimekko overalls
28,Madewell,#FFFFFF,#924b0b,Y,39,5,Knit Tops,Tops,tee,11,N,Ribbed striped cap-sleeve,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Still like this one tucked into jeans
31,,#aecebe,#1f443e,Y,41,5,Knit Tops,Tops,tank,12,N,Ribbed ringer,2018,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019","Last purchase I made before confirming I was pregnant, Spring Break road trip 2018"
39,The Reformation,#92c7e4,#7e456c,Y,50,5,Knit Tops,Tops,tee,13,N,Mesh tie-dye,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Trying to still dress playfully as a mom
33,,#FFFFFF,#3d678a,Y,48,5,Knit Tops,Tops,tank,14,N,Floral sweater,2019,"The Orme School, Mayer, AZ",N,N,N,Y,N,"June, 2019","June, 2020",Got this right before we got on a 40-hour train ride from Flagstaff to Chicago
40,Yan Yan,#635743,#5b4156,Y,51,5,Knit Tops,Tops,bra top,15,N,Color-block sweater ,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",One day I will wear this beauty
45,Mango,#7a6658,,N,,5,Knit Tops,Tops,bra top,16,N,Sweater,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,Learning to love my boobies
1,Express,#000000,,N,,5,Knit Tops,Tops,tee,1,Y,Long-sleeved crew-neck,2006,"Winnetka, IL",Y,N,N,N,N,before,"September, 2006",The only item of clothing I still have from high school
5,Aritzia,#867e76,,N,,5,Knit Tops,Tops,tee,2,Y,Long-sleeved raglan,2010,"Senior Year, Middlebury College",Y,N,N,N,N,10-Sep,"May, 2011",One of my last boring gray tees from an era when I wore a lot of boring gray tees
8,Topshop,#4e4c68,,N,,5,Knit Tops,Tops,tee,3,Y,Matelasse mock-neck,2012,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Textures
13,Loft,#8e8b88,,N,,5,Knit Tops,Tops,tee,4,Y,Cardigan,2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Bought this with a gift card that I won in a raffle along with a Fiat 500
50,Leset,#0c443d,,N,,5,Knit Tops,Tops,top,5,Y,Long-sleeved wrap,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,"Feels like cashmere, but can be washed in a machine"
38,The Reformation,#6d7d9e,#FFFFFF,Y,49,5,Knit Tops,Tops,tee,6,Y,Long-sleeved cathedral print mock-neck,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Surprisingly practical
44,Agnes B,#000000,#FFFFFF,Y,53,5,Knit Tops,Tops,tee,7,Y,Signature graphic,2020,"Roslindale, MA",N,Y,Y,N,Y,"June, 2019","June, 2020",First quarantine purchase; all I wanted to wear were long-sleeved tees
48,Flat File,#FFFFFF,#e56d13,Y,56,5,Knit Tops,Tops,tee,8,Y,Matisse graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,My brief foray into only wearing tee shirts and bike shorts
43,H & M,#FFFFFF,,N,,5,Knit Tops,Tops,tank,9,Y,Ribbed halter,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",Cheap summer top
49,Monogram,#FFFFFF,#b21d24,Y,57,5,Knit Tops,Tops,tee,10,Y,Les Fraises graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,My brief foray into only wearing tee shirts and bike shorts
10,Madewell,#2e3849,#FFFFFF,Y,3,6,Pants,Bottoms,pants,1,N,Wool pinstripe,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Work pants
13,Madewell,#4d5266,,N,,6,Pants,Bottoms,pants,2,N,Silk tie-belt,2019,"Roslindale, MA",Y,N,N,N,N,"June, 2019","June, 2020",Bought for an interview
4,Anthropologie,#8c0e1d,#425650,Y,2,6,Pants,Bottoms,pants,1,Y,Plaid corduroy,2011,Los Angeles,N,N,N,Y,N,"June, 2011","June, 2014",Used a secret santa gift card to get these on serious discount
8,Guess,#b90010,#000000,Y,8,7,Rompers & Jumpsuits,Dresses & Jumpsuits,romper,1,N,Plaid front-zip,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014","This is a ridiculous romper that Steven convinced me to get, but I still wear it to parties"
11,Free People,#FFFFFF,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,romper,2,N,Crocheted,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016",Wore this for my wedding after-party at the beach
14,Kapital,#70797f,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,3,N,Embroidered denim,2016,"Hangzhou, China",N,N,N,Y,N,"September, 2014","July, 2016","The Kapital flagship store is part art gallery, part immersive surrealist shopping experience: a maze of levels with Wes Anderson-esque intrumentals piped through the sound system"
