"COLLECTION_NAME","COUPLE_ID","COUPLE_SEQUENCE","RELATED","SEX","AGE","RACE","RACED","HISPAN","HISPAND","BPL","BPLD","INCTOT","INCWAGE"
"ms_children_2018",5800,"c2",101,1,57,1,100,0,0,28,2800,146500,143000
"ms_children_2018",1883,"c1",201,2,70,1,100,0,0,28,2800,7200,0
"ms_children_2018",1883,"c2",101,1,70,1,100,0,0,28,2800,20200,0
"ms_children_2018",1535,"c1",201,2,47,1,100,0,0,27,2700,0,0
"ms_children_2018",1535,"c2",101,1,53,1,100,0,0,47,4700,50000,50000
"ms_children_2018",1535,"ch1",301,1,21,1,100,0,0,27,2700,50000,50000
"ms_children_2018",5365,"c1",201,2,55,1,100,0,0,28,2800,7400,7000
"ms_children_2018",5365,"c2",101,1,56,1,100,0,0,28,2800,113000,113000
"ms_children_2018",4982,"c1",201,2,66,2,200,0,0,28,2800,10000,0
"ms_children_2018",4982,"c2",101,1,70,2,200,0,0,28,2800,18000,0
"ms_children_2018",2221,"c1",201,2,44,1,100,0,0,29,2900,46100,46000
"ms_children_2018",2221,"c2",101,1,44,1,100,0,0,28,2800,175500,175000
"ms_children_2018",2221,"ch1",301,2,15,1,100,0,0,28,2800,0,999999
"ms_children_2018",3332,"c1",401,1,36,1,100,0,0,28,2800,10000,10000
"ms_children_2018",3332,"c2",301,2,30,1,100,0,0,28,2800,0,0
"ms_children_2018",3332,"ch1",901,1,13,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",3332,"ch2",901,2,12,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",3332,"ch3",901,2,7,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",3332,"ch4",901,1,7,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",5640,"c1",201,1,41,1,100,0,0,45,4500,335000,335000
"ms_children_2018",5640,"c2",101,2,48,1,100,0,0,1,100,135000,135000
"ms_children_2018",2590,"c1",201,1,50,1,100,0,0,28,2800,32000,32000
"ms_children_2018",2590,"c2",101,2,47,1,100,0,0,28,2800,70000,70000
"ms_children_2018",2590,"ch1",301,2,20,1,100,0,0,28,2800,4500,4500
"ms_children_2018",3508,"c1",201,1,73,2,200,0,0,28,2800,65400,0
"ms_children_2018",3508,"c2",101,2,72,2,200,0,0,28,2800,9700,0
"ms_children_2018",3717,"c1",201,2,73,1,100,0,0,28,2800,0,0
"ms_children_2018",3717,"c2",101,1,75,1,100,0,0,28,2800,166950,0
"ms_children_2018",5477,"c1",201,1,49,2,200,0,0,28,2800,21000,21000
"ms_children_2018",5477,"c2",101,2,46,2,200,0,0,28,2800,90000,90000
"ms_children_2018",5477,"ch1",301,2,18,2,200,0,0,28,2800,0,0
"ms_children_2018",2620,"c1",201,1,48,7,700,1,100,200,20000,44000,44000
"ms_children_2018",2620,"c2",101,2,47,7,700,1,100,200,20000,0,0
"ms_children_2018",4930,"c1",201,1,69,1,100,0,0,18,1800,57020,0
"ms_children_2018",4930,"c2",101,2,66,1,100,0,0,18,1800,33000,15000
"ms_children_2018",3290,"c1",201,2,62,1,100,0,0,17,1700,35800,35800
"ms_children_2018",3290,"c2",101,1,69,1,100,0,0,28,2800,53700,35000
"ms_children_2018",3269,"c1",201,2,45,1,100,0,0,28,2800,31200,31200
"ms_children_2018",3269,"c2",101,1,44,1,100,0,0,28,2800,12000,12000
"ms_children_2018",3269,"ch1",301,2,16,1,100,0,0,28,2800,4000,4000
"ms_children_2018",3269,"ch2",301,2,12,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",1911,"c1",1114,1,64,2,200,0,0,28,2800,9100,0
"ms_children_2018",1911,"c2",1114,1,64,2,200,0,0,28,2800,9100,0
"ms_children_2018",5280,"c1",201,1,79,2,200,0,0,28,2800,7800,0
"ms_children_2018",5280,"c2",101,2,80,2,200,0,0,28,2800,14500,0
"ms_children_2018",4605,"c1",1114,1,20,2,200,0,0,28,2800,0,0
"ms_children_2018",4605,"c2",1114,1,20,2,200,0,0,28,2800,0,0
"ms_children_2018",4227,"c1",1114,2,24,1,100,0,0,28,2800,5000,5000
"ms_children_2018",4227,"c2",101,2,22,1,100,0,0,6,600,8500,8000
"ms_children_2018",4227,"ch1",301,2,5,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",5652,"c1",201,1,60,1,100,0,0,28,2800,30000,30000
"ms_children_2018",5652,"c2",101,2,57,1,100,0,0,28,2800,0,0
"ms_children_2018",2693,"c1",1114,2,33,1,100,0,0,28,2800,0,0
"ms_children_2018",2693,"c2",101,1,32,1,100,0,0,28,2800,16000,16000
"ms_children_2018",2693,"ch1",301,2,14,1,100,0,0,47,4700,9999999,999999
"ms_children_2018",2693,"ch2",301,2,10,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",2693,"ch3",301,2,7,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",2693,"ch4",301,2,3,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",2693,"ch5",301,1,3,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",2693,"ch6",301,1,0,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",3398,"c1",201,1,37,1,100,0,0,28,2800,76000,60000
"ms_children_2018",3398,"c2",101,2,32,1,100,0,0,48,4800,22000,22000
"ms_children_2018",3398,"ch1",301,1,2,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",3398,"ch2",301,1,0,1,100,0,0,28,2800,9999999,999999
